compound,a,nominal_PBE_bg,nominal_HSE06_bg,polymorphous_PBE_bg,polymorphous_HSE06_bg,,,
AgMgF3,3.9764,2.07,4.22,1.9551,4.0564,,,
AgZnF3,4.0717,1.55,3.87,1.3971,3.4962,,,
BaLiBr3,5.2209,3.49,4.60,4.447,5.6497,,,
BaLiCl3,4.9126,4.29,5.56,5.1648,6.4987,,,
BaLiF3,4.0491,6.58,8.66,6.6063,8.6518,,,
CsCaF3,4.5835,6.89,8.97,6.9065,8.97,,,
CsCaI3,6.2298,3.72,4.72,3.8371,4.82,,,
CsHgCl3,5.4000,0.00,0.51,1.2064,2.22,,,
CsMgBr3,5.4452,2.48,3.65,2.4773,3.65,,,
CsMgCl3,5.1277,3.93,5.31,3.9254,5.31,,,
CsMgF3,4.2481,6.69,8.82,6.7204,8.83,,,
CsMgI3,5.9144,1.14,2.03,1.4011,2.27,,,
CsNaF3,4.5381,0.00,0.00,0,0.00,,,
CsPbI3,6.3890,1.48,2.00,1.8702,2.46,,,
InPbI3,6.3156,1.39,1.90,1.9403,2.58,,,
TlPbI3,6.3219,1.40,1.91,2.1328,2.76,,,
CsPbCl3,5.7210,2.19,2.92,2.5522,3.35,,,
CsPbF3,4.8649,2.87,3.98,3.06,4.19,,,
CsSnCl3,5.6204,0.99,1.56,1.7074,2.38,,,
CsSrF3,4.8298,6.19,8.20,6.2485,8.24,,,
CsSrI3,6.4744,3.61,4.58,3.7709,4.76,,,
CsTlBr3,5.8869,0.00,0.00,0.1221,0.20,,,
CsZnBr3,5.3825,0.00,1.23,2.0274,3.22,,,
CsZnCl3,5.0797,1.26,2.72,2.9103,4.35,,,
CsZnI3,5.8277,0.00,0.00,2.0555,3.05,,,
InCaBr3,5.6900,3.10,4.14,3.3548,4.19,,,
InCaCl3,5.3913,3.77,4.76,3.6721,4.56,,,
InCaF3,4.5002,3.58,4.60,3.1748,4.11,,,
InCdBr3,5.5303,0.81,1.95,1.4395,2.29,,,
InCdCl3,5.2490,1.84,3.08,1.4218,2.41,,,
InCdF3,4.4818,3.21,4.27,2.3286,3.31,,,
InGeCl3,5.2522,0.88,1.43,2.4197,3.22,,,
InMgCl3,5.0128,3.58,4.47,3.4624,4.36,,,
InMgF3,4.1118,2.90,3.85,2.907,3.85,,,
InPbCl3,5.6654,1.71,2.44,2.8993,3.72,,,
InPbF3,4.8137,1.62,2.54,2.93,3.80,,,
InSnCl3,5.5576,0.64,1.19,2.5778,3.35,,,
InSnF3,4.7012,0.54,1.18,2.5931,3.35,,,
InZnF3,4.1782,2.74,3.75,2.69,3.68,,,
KCaBr3,5.7175,3.89,5.04,4.3378,5.51,,,
KCaCl3,5.4040,4.75,6.04,5.212,6.53,,,
KCaF3,4.4819,6.14,8.18,6.4045,8.45,,,
KCdBr3,5.5597,0.75,1.91,1.5936,2.62,,,
KCdCl3,5.2613,1.79,3.14,2.2836,3.58,,,
KCdF3,4.4693,3.06,5.07,3.1977,5.18,,,
KCdI3,5.9982,0.00,0.55,1.9506,2.92,,,
KGaBr3,5.4261,0.00,0.00,0.9179,1.46,,,
KGeBr3,5.5391,0.60,1.08,1.952,2.66,,,
KHgBr3,5.6300,0.00,0.00,1.6168,2.62,,,
KHgCl3,5.3415,0.00,0.52,1.9222,3.09,,,
KHgI3,6.0394,0.00,0.00,1.6401,2.53,,,
KMgCl3,5.0186,4.23,5.63,4.338,5.74,,,
KMgF3,4.0454,6.98,9.24,7.0083,9.25,,,
KPbCl3,5.6810,2.15,2.88,3.0431,3.90,,,
KSrCl3,5.6863,4.43,5.71,4.8847,6.19,,,
KSrF3,4.7670,5.45,7.43,5.7987,7.78,,,
