,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
0,AgCaF3,1711925,-2.80338359,-2.566373958,-2.7085739579999997,-2.7227739579999994,0.08060963200000071
1,AgCdCl3,1722750,-0.75658198,-0.48173903600000023,-0.6947390360000001,-0.6771390360000002,0.07944294399999974
2,AgCdF3,1709249,-1.77538037,-1.5322806020000002,-1.674480602,-1.6568806019999998,0.11849976800000017
3,AgCoCl3,1722751,-0.45203581,-0.1585623380000003,-0.3715623380000004,-0.3485623379999998,0.10347347200000018
4,AgCoF3,1706441,-1.58199568,-1.3666437359999999,-1.5088437359999998,-1.4858437359999996,0.09615194400000027
5,AgCrF3,1711926,-1.96081476,-1.7549764460000006,-1.8971764460000005,-1.880776446,0.08003831400000005
6,AgCuCl3,1722752,-0.49810942,-0.26884014399999945,-0.4818401439999995,-0.45764014399999997,0.040469276000000054
7,AgCuF3,1706442,-1.51052435,-1.3174129259999998,-1.4596129259999997,-1.4354129259999997,0.07511142400000037
8,AgDyF3,1711927,-3.02620364,-2.8163074780000006,-2.9585074780000005,-2.9215074780000005,0.10469616199999932
9,AgFeCl3,1722753,-0.57017168,-0.3188315180000001,-0.5318315180000002,-0.4682315179999996,0.10194016200000033
10,AgGeF3,1711918,-1.68592585,-1.4627378579999997,-1.6049378579999996,-1.5999378579999992,0.08598799200000085
11,AgHgCl3,1722748,-0.40995396,-0.15214523199999963,-0.3495452319999999,-0.32454523199999974,0.08540872800000027
12,AgHgF3,1709252,-1.24713412,-1.0200723440000001,-1.1466723440000002,-1.121672344,0.12546177599999986
13,AgMgCl3,1722758,-1.27875487,-1.028673466,-1.2416734660000002,-1.241273466,0.037481403999999996
14,AgMnCl3,1722759,-0.81002212,-0.5623140919999994,-0.7753140919999995,-0.7757140919999994,0.034308028000000546
15,AgMnF3,1709251,-1.976957,-1.7596411520000004,-1.9018411520000003,-1.9022411520000002,0.07471584799999986
16,AgNiCl3,1722760,-0.51607377,-0.25867394799999976,-0.47167394799999984,-0.442273948,0.07379982200000001
17,AgNiF3,1709255,-1.57004326,-1.3391910900000008,-1.4813910900000007,-1.4519910900000004,0.11805216999999968
18,AgPdF3,1711873,-1.23008201,-1.0442480020000002,-1.1864480020000001,-1.1570480019999998,0.07303400800000026
19,AgRhF3,1711919,-1.16852962,-0.9657258179999997,-1.1079258179999996,-1.0725258179999995,0.09600380200000047
20,AgScBr3,1575261,-1.03752409,-0.8217101139999996,-0.9951101139999996,-0.9653101139999993,0.07221397600000068
21,AgSmF3,1711920,-2.98096005,-2.769694886,-2.911894886,-2.9082948859999993,0.07266516400000089
22,AgSnF3,1711924,-1.76046148,-1.50594084,-1.6705408399999997,-1.6365408399999999,0.12392064000000014
23,AgTmCl3,1722761,-1.49767175,-1.2632247700000003,-1.4762247700000004,-1.4556247700000005,0.04204697999999962
24,AgTmF3,1709256,-3.04978553,-2.8484819200000002,-2.99068192,-2.97008192,0.0797036099999997
25,AgVF3,1711921,-2.09415767,-1.908067946,-2.050267946,-2.033467946,0.060689723999999945
