,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
0,AgCdCl3,1722750,-0.75658198,-0.48173903600000023,-0.6947390360000001,-0.6771390360000002,0.07944294399999974
1,AgCdF3,1709249,-1.77538037,-1.5322806020000002,-1.674480602,-1.6568806019999998,0.11849976800000017
2,AgCoCl3,1722751,-0.45203581,-0.1585623380000003,-0.3715623380000004,-0.3485623379999998,0.10347347200000018
3,AgCoF3,1706441,-1.58199568,-1.3666437359999999,-1.5088437359999998,-1.4858437359999996,0.09615194400000027
4,AgDyF3,1711927,-3.02620364,-2.8163074780000006,-2.9585074780000005,-2.9215074780000005,0.10469616199999932
5,AgGeF3,1711918,-1.68592585,-1.4627378579999997,-1.6049378579999996,-1.5999378579999992,0.08598799200000085
6,AgHgCl3,1722748,-0.40995396,-0.15214523199999963,-0.3495452319999999,-0.32454523199999974,0.08540872800000027
7,AgHgF3,1709252,-1.24713412,-1.0200723440000001,-1.1466723440000002,-1.121672344,0.12546177599999986
8,AgPdF3,1711873,-1.23008201,-1.0442480020000002,-1.1864480020000001,-1.1570480019999998,0.07303400800000026
9,AgScBr3,1575261,-1.03752409,-0.8217101139999996,-0.9951101139999996,-0.9653101139999993,0.07221397600000068
10,AgSmF3,1711920,-2.98096005,-2.769694886,-2.911894886,-2.9082948859999993,0.07266516400000089
11,AgSnF3,1711924,-1.76046148,-1.50594084,-1.6705408399999997,-1.6365408399999999,0.12392064000000014
12,AgTmCl3,1722761,-1.49767175,-1.2632247700000003,-1.4762247700000004,-1.4556247700000005,0.04204697999999962
13,AgTmF3,1709256,-3.04978553,-2.8484819200000002,-2.99068192,-2.97008192,0.0797036099999997
14,AgYbCl3,1722762,-1.60649424,-1.3602166640000002,-1.5732166640000003,-1.625416664,-0.018922424000000104
15,AgYbF3,1709258,-2.9961633,-2.798021628,-2.9402216279999998,-2.992421628,0.0037416720000003068
16,AgZnCl3,1709259,-0.79250639,-0.5198294479999999,-0.7328294479999999,-0.7292294479999999,0.06327694200000011
17,AgZnF3,5647,-1.95204356,-1.712340642,-1.854540642,-1.8509406419999996,0.10110291800000026
18,AuCdF3,1714540,-1.42614478,-1.1875973640000002,-1.329797364,-1.3259973639999998,0.10014741600000021
19,AuCoF3,1714536,-1.24620076,-1.0367644340000002,-1.178964434,-1.1697644339999997,0.07643632600000028
20,AuHgF3,1718062,-0.90477655,-0.682997278,-0.809597278,-0.7983972779999997,0.1063792720000003
21,AuTmF3,1718066,-2.95883079,-2.7658328200000004,-2.9080328200000003,-2.9012328199999997,0.05759797000000022
22,AuYbF3,1722763,-2.65435533,-2.4603182240000008,-2.6025182240000007,-2.668518224,-0.014162894000000037
23,AuZnCl3,1722765,-0.4733905,-0.2055715039999999,-0.418571504,-0.42877150399999997,0.04461899600000002
24,AuZnF3,1706443,-1.60330991,-1.3678585740000004,-1.5100585740000003,-1.5202585739999999,0.08305133600000003
25,BaAgCl3,1726024,-1.71745356,-1.485517164,-1.6985171639999996,-1.7621171639999997,-0.04466360399999969
26,BaAgF3,1710709,-2.58012574,-2.385988058,-2.528188058,-2.5917880579999997,-0.011662317999999505
27,BaLiBr3,1713547,-2.05315491,-1.8797597140000004,-2.0531597140000004,-2.1677597140000007,-0.11460480400000073
28,BaLiCl3,1710710,-2.40363914,-2.1950039740000005,-2.4080039740000005,-2.5238039740000007,-0.12016483400000055
29,BaNaF3,1440785,-3.49877587,-3.3011112560000004,-3.461511256,-3.5453112559999997,-0.046535385999999956
30,CsAgBr3,1489057,-1.11892336,-0.927628192,-1.101028192,-1.096628192,0.022295167999999865
31,CsAgCl3,1547067,-1.30277127,-1.0769285439999996,-1.2899285439999997,-1.2867285439999996,0.01604272600000045
32,CsAgF3,1430835,-2.08720375,-1.902627216,-2.044827216,-2.0416272159999997,0.04557653400000028
33,CsAgI3,1709171,-0.81994765,-0.7023456059999997,-0.8013456059999997,-0.7939456059999999,0.02600204400000017
34,CsBaBr3,1386168,-2.19138855,-2.0172467380000003,-2.1906467380000008,-2.2922467380000002,-0.10085818800000013
35,CsBaCl3,1385789,-2.47400025,-2.26377939,-2.47677939,-2.57957939,-0.10557914000000013
36,CsBaF3,1344290,-3.51249239,-3.335197538,-3.477397538,-3.5801975379999997,-0.06770514799999994
37,CsBaI3,1440784,-1.75346028,-1.6551789460000004,-1.7541789460000001,-1.8527789460000004,-0.09931866600000028
38,CsCdBr3,1706428,-1.44602544,-1.2394557519999998,-1.412855752,-1.433255752,0.012769688000000112
39,CsCdCl3,1345809,-1.69702521,-1.453635282,-1.6666352819999999,-1.688235282,0.008789928000000113
40,CsCdF3,646364,-2.68997087,-2.477737684,-2.619937684,-2.641537684,0.04843318599999957
41,CsCdI3,1709173,-1.050527,-0.920488824,-1.0194888239999997,-1.0368888239999998,0.013638176000000168
42,CsCoI3,1711862,-0.6083221,-0.4985808860000005,-0.5975808860000003,-0.6095808860000003,-0.0012587860000002893
