,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
0,AgCaF3,1711925,-2.80338359,-2.6171608699999993,-2.759360869999999,pp_mismatch,Non-magnetic
1,AgCdCl3,1722750,-0.75658198,-0.4841373160000002,-0.6971373160000001,pp_match,Non-magnetic
2,AgCdF3,1709249,-1.77538037,-1.5733770859999998,-1.7155770859999997,pp_match,Non-magnetic
3,AgCoCl3,1722751,-0.45203581,-0.2006956600000005,-0.4136956600000006,pp_match,Magnetic
4,AgCoF3,1706441,-1.58199568,-1.392847654,-1.535047654,pp_match,Magnetic
5,AgCrF3,1711926,-1.96081476,-1.7907345160000006,-1.9329345160000004,pp_mismatch,Magnetic
6,AgCuCl3,1722752,-0.49810942,-0.2681183979999995,-0.48111839799999956,pp_match,Non-magnetic
7,AgCuF3,1706442,-1.51052435,-1.3358244459999997,-1.4780244459999996,pp_match,Non-magnetic
8,AgDyF3,1711927,-3.02620364,-2.845837148,-2.988037148,pp_match,Magnetic
9,AgFeCl3,1722753,-0.57017168,-0.3165277879999997,-0.5295277879999998,pp_match,Magnetic
10,AgGeF3,1711918,-1.68592585,-1.5081529740000001,-1.650352974,pp_match,Non-magnetic
11,AgHgCl3,1722748,-0.40995396,-0.1528722119999999,-0.35027221200000014,pp_match,Non-magnetic
12,AgHgF3,1709252,-1.24713412,-1.066022794,-1.192622794,pp_match,Non-magnetic
13,AgMgCl3,1722758,-1.27875487,-1.0339791120000001,-1.2469791120000002,pp_match,Non-magnetic
14,AgMnCl3,1722759,-0.81002212,-0.563981278,-0.776981278,pp_mismatch,Magnetic
15,AgMnF3,1709251,-1.976957,-1.8105649719999999,-1.9527649719999998,pp_mismatch,Magnetic
16,AgNiCl3,1722760,-0.51607377,-0.2580440180000001,-0.4710440180000002,pp_match,Magnetic
17,AgNiF3,1709255,-1.57004326,-1.3705953920000002,-1.5127953920000001,pp_match,Magnetic
18,AgPdF3,1711873,-1.23008201,-1.0584051900000002,-1.20060519,pp_match,Non-magnetic
19,AgRhF3,1711919,-1.16852962,-0.9944992660000005,-1.1366992660000004,pp_mismatch,Magnetic
