,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
0,AgCaF3,1711925,-2.80338359,-2.566373958,-2.7085739579999997,pp_mismatch,Non-magnetic
1,AgCdCl3,1722750,-0.75658198,-0.48173903600000023,-0.6947390360000001,pp_match,Non-magnetic
2,AgCdF3,1709249,-1.77538037,-1.5322806020000002,-1.674480602,pp_match,Non-magnetic
3,AgCoCl3,1722751,-0.45203581,-0.1585623380000003,-0.3715623380000004,pp_match,Magnetic
4,AgCoF3,1706441,-1.58199568,-1.3666437359999999,-1.5088437359999998,pp_match,Magnetic
5,AgCrF3,1711926,-1.96081476,-1.7549764460000006,-1.8971764460000005,pp_mismatch,Magnetic
6,AgCuCl3,1722752,-0.49810942,-0.26884014399999945,-0.4818401439999995,pp_mismatch,Non-magnetic
7,AgCuF3,1706442,-1.51052435,-1.3174129259999998,-1.4596129259999997,pp_mismatch,Non-magnetic
8,AgDyF3,1711927,-3.02620364,-2.8163074780000006,-2.9585074780000005,pp_match,Magnetic
9,AgFeCl3,1722753,-0.57017168,-0.3188315180000001,-0.5318315180000002,pp_mismatch,Magnetic
10,AgGeF3,1711918,-1.68592585,-1.4627378579999997,-1.6049378579999996,pp_match,Non-magnetic
11,AgHgCl3,1722748,-0.40995396,-0.15214523199999963,-0.3495452319999999,pp_match,Non-magnetic
12,AgHgF3,1709252,-1.24713412,-1.0200723440000001,-1.1466723440000002,pp_match,Non-magnetic
13,AgMgCl3,1722758,-1.27875487,-1.028673466,-1.2416734660000002,pp_mismatch,Non-magnetic
14,AgMnCl3,1722759,-0.81002212,-0.5623140919999994,-0.7753140919999995,pp_mismatch,Magnetic
15,AgMnF3,1709251,-1.976957,-1.7596411520000004,-1.9018411520000003,pp_mismatch,Magnetic
16,AgNiCl3,1722760,-0.51607377,-0.25867394799999976,-0.47167394799999984,pp_mismatch,Magnetic
17,AgNiF3,1709255,-1.57004326,-1.3391910900000008,-1.4813910900000007,pp_mismatch,Magnetic
18,AgPdF3,1711873,-1.23008201,-1.0442480020000002,-1.1864480020000001,pp_match,Non-magnetic
19,AgRhF3,1711919,-1.16852962,-0.9657258179999997,-1.1079258179999996,pp_mismatch,Magnetic
20,AgScBr3,1575261,-1.03752409,-0.8217101139999996,-0.9951101139999996,pp_match,Magnetic
21,AgSmF3,1711920,-2.98096005,-2.769694886,-2.911894886,pp_match,Magnetic
22,AgSnF3,1711924,-1.76046148,-1.50594084,-1.6705408399999997,pp_match,Non-magnetic
23,AgTmCl3,1722761,-1.49767175,-1.2632247700000003,-1.4762247700000004,pp_match,Magnetic
24,AgTmF3,1709256,-3.04978553,-2.8484819200000002,-2.99068192,pp_match,Magnetic
25,AgVF3,1711921,-2.09415767,-1.908067946,-2.050267946,pp_mismatch,Magnetic
26,AgYbCl3,1722762,-1.60649424,-1.3602166640000002,-1.5732166640000003,pp_match,Non-magnetic
27,AgYbF3,1709258,-2.9961633,-2.798021628,-2.9402216279999998,pp_match,Non-magnetic
28,AgZnCl3,1709259,-0.79250639,-0.5198294479999999,-0.7328294479999999,pp_match,Non-magnetic
29,AgZnF3,5647,-1.95204356,-1.712340642,-1.854540642,pp_match,Non-magnetic
30,AuCdF3,1714540,-1.42614478,-1.1875973640000002,-1.329797364,pp_match,Non-magnetic
31,AuCoF3,1714536,-1.24620076,-1.0367644340000002,-1.178964434,pp_match,Magnetic
32,AuCuF3,1714539,-1.14895273,-0.9612587280000002,-1.103458728,pp_mismatch,Non-magnetic
33,AuHgF3,1718062,-0.90477655,-0.682997278,-0.809597278,pp_match,Non-magnetic
34,AuMgF3,1718063,-2.38890704,-2.161738932,-2.303938932,pp_mismatch,Non-magnetic
35,AuMnF3,1714544,-1.68615686,-1.4769062960000006,-1.6191062960000004,pp_mismatch,Magnetic
36,AuNiF3,1718065,-1.21059204,-0.9860268940000001,-1.128226894,pp_mismatch,Magnetic
37,AuTmF3,1718066,-2.95883079,-2.7658328200000004,-2.9080328200000003,pp_match,Magnetic
38,AuYbF3,1722763,-2.65435533,-2.4603182240000008,-2.6025182240000007,pp_match,Non-magnetic
39,AuZnCl3,1722765,-0.4733905,-0.2055715039999999,-0.418571504,pp_match,Non-magnetic
40,AuZnF3,1706443,-1.60330991,-1.3678585740000004,-1.5100585740000003,pp_match,Non-magnetic
41,BaAgCl3,1726024,-1.71745356,-1.485517164,-1.6985171639999996,pp_match,Non-magnetic
42,BaAgF3,1710709,-2.58012574,-2.385988058,-2.528188058,pp_match,Non-magnetic
43,BaLiBr3,1713547,-2.05315491,-1.8797597140000004,-2.0531597140000004,pp_match,Non-magnetic
44,BaLiCl3,1710710,-2.40363914,-2.1950039740000005,-2.4080039740000005,pp_match,Non-magnetic
45,BaNaF3,1440785,-3.49877587,-3.3011112560000004,-3.461511256,pp_match,Non-magnetic
46,BaVCl3,1535121,-1.61887845,-1.4103949399999998,-1.6233949399999998,pp_mismatch,Magnetic
47,CsAgBr3,1489057,-1.11892336,-0.927628192,-1.101028192,pp_match,Non-magnetic
48,CsAgCl3,1547067,-1.30277127,-1.0769285439999996,-1.2899285439999997,pp_match,Non-magnetic
49,CsAgF3,1430835,-2.08720375,-1.902627216,-2.044827216,pp_match,Non-magnetic
50,CsAgI3,1709171,-0.81994765,-0.7023456059999997,-0.8013456059999997,pp_match,Non-magnetic
51,CsBaBr3,1386168,-2.19138855,-2.0172467380000003,-2.1906467380000008,pp_match,Non-magnetic
52,CsBaCl3,1385789,-2.47400025,-2.26377939,-2.47677939,pp_match,Non-magnetic
53,CsBaF3,1344290,-3.51249239,-3.335197538,-3.477397538,pp_match,Non-magnetic
54,CsBaI3,1440784,-1.75346028,-1.6551789460000004,-1.7541789460000001,pp_match,Non-magnetic
55,CsCaCl3,1344684,-2.51261902,-2.289163284,-2.5021632839999994,pp_mismatch,Non-magnetic
56,CsCaI3,1384839,-1.71266056,-1.603531792,-1.702531792,pp_mismatch,Non-magnetic
57,CsCdBr3,1706428,-1.44602544,-1.2394557519999998,-1.412855752,pp_match,Non-magnetic
58,CsCdCl3,1345809,-1.69702521,-1.453635282,-1.6666352819999999,pp_match,Non-magnetic
59,CsCdF3,646364,-2.68997087,-2.477737684,-2.619937684,pp_match,Non-magnetic
60,CsCdI3,1709173,-1.050527,-0.920488824,-1.0194888239999997,pp_match,Non-magnetic
61,CsCeBr3,1711895,-1.86166116,-1.8838928860000004,-2.057292886,pp_mismatch,Magnetic
62,CsCeCl3,1709261,-2.15270021,-2.1437412240000002,-2.3567412240000003,pp_mismatch,Magnetic
63,CsCeF3,1711953,-3.20044542,-3.2716803240000005,-3.4138803240000004,pp_mismatch,Magnetic
64,CsCeI3,1711867,-1.43596939,-1.5224607039999998,-1.6214607039999998,pp_mismatch,Magnetic
65,CsCoI3,1711862,-0.6083221,-0.4985808860000005,-0.5975808860000003,pp_match,Magnetic
66,CsCrBr3,1706429,-1.32605532,-1.1515859460000004,-1.3249859460000004,pp_mismatch,Magnetic
67,CsCrCl3,1709221,-1.61723283,-1.4070773840000004,-1.6200773840000005,pp_mismatch,Magnetic
68,CsCrF3,1706425,-2.69401603,-2.5135728340000005,-2.6557728340000004,pp_mismatch,Magnetic
69,CsCrI3,1432912,-0.90191783,-0.29256049300000075,-0.3915604930000005,pp_mismatch,Non-magnetic
70,CsCuBr3,1709212,-1.08760139,-0.9207400319999999,-1.094140032,pp_mismatch,Non-magnetic
71,CsCuCl3,1575757,-1.3048979,-1.1030865339999996,-1.3160865339999996,pp_mismatch,Non-magnetic
72,CsCuF3,1576135,-2.20542233,-2.040699824,-2.1828998239999997,pp_mismatch,Non-magnetic
73,CsCuI3,1722739,-0.75009369,-0.658465386,-0.7574653859999998,pp_mismatch,Non-magnetic
74,CsDyBr3,1706422,-1.81680469,-1.6318752179999998,-1.805275218,pp_match,Magnetic
75,CsDyF3,1706460,-3.21714358,-3.0315272859999993,-3.173727285999999,pp_match,Magnetic
76,CsDyI3,1706396,-1.36848102,-1.259258236,-1.3582582359999997,pp_match,Magnetic
77,CsEuBr3,1386802,-2.27297156,-2.8105635820000003,-2.9839635820000003,pp_mismatch,Non-magnetic
78,CsEuCl3,6025,-2.59957464,-3.9291578019999998,-4.142157802,pp_mismatch,Magnetic
79,CsEuI3,1706456,-1.79026027,-3.28918274,-3.38818274,pp_mismatch,Magnetic
80,CsFeBr3,1575236,-1.1240797,-0.9386968540000002,-1.1120968540000002,pp_mismatch,Magnetic
81,CsFeCl3,1709267,-1.41201271,-1.19041073,-1.40341073,pp_mismatch,Magnetic
82,CsFeI3,1711863,-0.69998059,-0.5902365140000003,-0.6892365140000001,pp_mismatch,Magnetic
83,CsGdBr3,1706405,-1.83867555,-3.6032500800000005,-3.7766500800000005,pp_mismatch,Magnetic
84,CsGdCl3,1706452,-2.14953699,-3.87256451,-4.08556451,pp_mismatch,Magnetic
85,CsGdF3,1706462,-3.22531254,-4.969911136,-5.112111135999999,pp_mismatch,Magnetic
