,correct_formula,ML_prediction
0,AgBeBr3,-1.0459572
1,AgBeCl3,-0.752779
2,AgBeF3,-1.3887856
3,AgBeI3,-1.1999096
4,AgCaBr3,-1.6679168
5,AgCaCl3,-1.8535173
6,AgCaI3,-1.281796
7,AgCdBr3,-0.6443485
8,AgCdI3,-0.6172701
9,AgCrBr3,-0.92147887
10,AgCrCl3,-0.9960493
11,AgCrI3,-0.55222553
12,AgCuBr3,-0.71623725
13,AgCuI3,-0.4907733
14,AgFeBr3,-0.7108819
15,AgFeF3,-1.4316068
16,AgFeI3,-0.4327626
17,AgMgBr3,-1.2266688
18,AgMgI3,-0.7339248
19,AgMnBr3,-0.6940062
20,AgNiBr3,-0.6877068
21,AgNiI3,-0.39576858
22,AgPdBr3,-0.6797855
23,AgPdCl3,-0.67616177
24,AgPdI3,-0.35166252
25,AgPtBr3,-0.72006845
26,AgPtCl3,-0.6744467
27,AgPtF3,-0.9596925
28,AgSnBr3,-0.9238968
29,AgSnCl3,-1.0686561
30,AgSnI3,-0.65467435
31,AgTiBr3,-1.2170575
32,AgTiCl3,-1.3778658
33,AgTiF3,-2.7323818
34,AgVCl3,-1.4208516
35,AgZnBr3,-0.6376514
36,AgZnI3,-0.34655827
37,AuBaBr3,-1.7480452
38,AuBaCl3,-1.9589906
39,AuBaF3,-2.3703651
40,AuBaI3,-1.475251
41,AuBeBr3,-1.0871376
42,AuBeCl3,-0.82590723
43,AuBeF3,-1.4046547
44,AuBeI3,-1.2654223
45,AuCaBr3,-1.540416
46,AuCaCl3,-1.8093579
47,AuCaF3,-2.794051
48,AuCaI3,-1.1798005
49,AuCdBr3,-0.64802516
50,AuCdCl3,-0.693256
51,AuCdI3,-0.6383448
52,AuCoCl3,-0.6768353
53,AuCrBr3,-0.8509234
54,AuCrCl3,-0.9916098
55,AuCrF3,-1.404654
56,AuCrI3,-0.57105786
57,AuCuBr3,-0.7109667
58,AuCuCl3,-0.7728263
59,AuCuI3,-0.51132417
60,AuEuBr3,-1.6864502
61,AuEuCl3,-1.9505265
62,AuEuF3,-3.025948
63,AuEuI3,-1.3741816
64,AuFeBr3,-0.67317635
65,AuFeCl3,-0.7854121
66,AuFeF3,-1.2778376
67,AuFeI3,-0.41488945
68,AuGdF3,-2.4534917
69,AuMgBr3,-1.0678031
70,AuMgCl3,-1.2665291
71,AuMgI3,-0.6322268
72,AuMnBr3,-0.6866866
73,AuMnCl3,-0.6459385
74,AuNiBr3,-0.66352516
75,AuNiCl3,-0.7255968
76,AuNiI3,-0.40182024
77,AuPbBr3,-1.0223118
