,compound,lattice_const,PBE_bg,HSE06_bg
0,AgGeCl3,5.1705,0.0,0.0
1,AgMgF3,3.9764,2.07,4.22
2,AgSnCl3,5.4447,0.0,0.0
3,AgZnF3,4.0717,1.55,3.87
4,BaLiBr3,5.2209,3.49,4.6
5,BaLiCl3,4.9126,4.29,5.56
6,BaLiF3,4.0491,6.58,8.66
7,CaAgCl3,5.311,1.56,2.92
8,CaInI3,6.1291,2.54,3.25
9,CdInI3,5.9083,0.0,0.65
10,CsAlCl3,5.1841,0.0,0.0
11,CsBaCl3,6.0541,4.65,5.91
12,CsBeCl3,4.8471,2.28,3.42
13,CsCaBr3,5.7689,4.33,5.55
14,CsCaCl3,5.4658,5.27,6.66
15,CsCaF3,4.5835,6.89,8.97
16,CsCaI3,6.2298,3.72,4.72
17,CsCdBr3,5.6212,0.54,1.85
18,CsCdCl3,5.3333,1.71,3.04
19,CsCdF3,4.5589,3.12,5.28
20,CsCdI3,6.0487,0.0,0.53
21,CsGaBr3,5.5112,0.0,0.0
22,CsGaCl3,5.2243,0.0,0.0
23,CsGeI3,5.9983,0.64,1.0
24,CsHgCl3,5.4,0.0,0.51
25,CsInBr3,5.7643,0.0,0.0
26,CsInCl3,5.4812,0.0,0.0
27,CsMgBr3,5.4452,2.48,3.65
28,CsMgCl3,5.1277,3.93,5.31
29,CsMgF3,4.2481,6.69,8.82
30,CsMgI3,5.9144,1.14,2.03
31,CsNaF3,4.5381,0.0,0.0
32,CsPbBr3,5.9895,1.67,2.41
33,CsPbCl3,5.721,2.19,2.92
34,CsPbF3,4.8649,2.87,3.98
35,CsPbI3,6.389,1.48,2.0
36,CsSnBr3,5.8854,0.63,1.1
37,CsSnCl3,5.6204,0.99,1.56
38,CsSnF3,4.7841,1.62,2.58
39,CsSnI3,6.2718,0.46,0.81
40,CsSrBr3,6.0317,4.17,5.32
41,CsSrCl3,5.7248,4.97,6.27
42,CsSrF3,4.8298,6.19,8.2
43,CsSrI3,6.4744,3.61,4.58
44,CsTlBr3,5.8869,0.0,0.0
45,CsTlF3,4.7914,0.0,0.0
46,CsZnBr3,5.3825,0.0,1.23
47,CsZnCl3,5.0797,1.26,2.72
48,CsZnF3,4.2915,3.46,5.96
49,CsZnI3,5.8277,0.0,0.0
50,HgBiCl3,5.4563,1.02,0.9
51,InCaBr3,5.69,3.1,4.14
52,InCaCl3,5.3913,3.77,4.76
53,InCaF3,4.5002,3.58,4.6
54,InCdBr3,5.5303,0.81,1.95
55,InCdCl3,5.249,1.84,3.08
56,InCdF3,4.4818,3.21,4.27
