,compound,lattice_const,PBE_bg,HSE06_bg
0,AgGeCl3,5.1705,2.6,3.64
1,AgMgF3,3.9764,1.9551,4.0564
2,AgSnCl3,5.4447,2.6556,3.64
3,AgZnF3,4.0717,1.3971,3.4962
4,BaLiCl3,4.9126,5.1648,6.4987
5,BaLiF3,4.0491,6.6063,8.6518
6,CaAgCl3,5.311,2.4539,3.87
7,CaInI3,6.1291,2.5189,3.17
8,CdAgCl3,5.1795,1.3839,2.8
9,CdAgF3,4.4154,1.0535,3.06
10,CdInI3,5.9083,0.7511,1.01
11,CsAlCl3,5.1841,1.095,1.65
12,CsBaBr3,6.9963,4.2165,5.35
13,CsBaF3,5.1058,5.6492,7.5
14,CsBaI3,6.7825,3.8248,4.79
15,CsBeCl3,4.8471,4.1128,5.48
16,CsBeF3,4.0369,7.12,9.21
17,CsBrCl3,5.4486,1.2885,2.1
18,CsCaF3,4.5835,6.9065,8.97
19,CsCdBr3,5.6212,1.0277,2.1
20,CsCdCl3,5.3333,1.6894,3.04
21,CsCdF3,4.5589,3.2584,5.28
22,CsCdI3,6.0487,1.5108,2.38
23,CsGaBr3,5.5112,0.5696,0.71
24,CsGaCl3,5.2243,0.5885,0.97
25,CsGeBr3,5.6043,0.9755,1.56
26,CsGeCl3,5.3399,1.4508,2.14
27,CsGeF3,4.5533,3.3705,4.51
28,CsGeI3,5.9983,1.0345,1.51
29,CsHgBr3,5.686,1.1246,1.95
30,CsHgCl3,5.4,1.2064,2.22
31,CsHgF3,4.5146,0.7063,2.49
32,CsHgI3,6.0899,1.3415,2.09
33,CsInBr3,5.7643,0.3067,0.39
34,CsInCl3,5.4812,1.5207,2.26
35,CsMgBr3,5.4452,2.4773,3.65
36,CsMgCl3,5.1277,3.9254,5.31
37,CsMgF3,4.2481,6.7204,8.83
38,CsMgI3,5.9144,1.4011,2.27
39,CsPbBr3,5.9895,2.1607,2.87
40,CsPbCl3,5.721,2.5522,3.35
41,CsPbF3,4.8649,3.06,4.19
42,CsPbI3,6.389,1.8702,2.46
43,CsSnBr3,5.8854,1.2341,1.81
44,CsSnCl3,5.6204,1.7074,2.38
45,CsSnF3,4.7841,3.1324,4.15
46,CsSnI3,6.2718,1.0209,1.5
47,CsSrBr3,6.0317,4.3429,5.51
48,CsSrCl3,5.7248,5.1646,6.47
49,CsSrF3,4.8298,6.2485,8.24
50,CsSrI3,6.4744,3.7709,4.76
51,CsTlBr3,5.8869,0.1221,0.2
52,CsTlF3,4.7914,1.6601,2.64
53,CsZnBr3,5.3825,2.0274,3.22
54,CsZnCl3,5.0797,2.9103,4.35
55,CsZnF3,4.2915,3.6291,6.0
56,CsZnI3,5.8277,2.0555,3.05
57,HgBiCl3,5.4563,0.9423,1.43
58,InCaBr3,5.69,3.3548,4.19
59,InCaCl3,5.3913,3.6721,4.56
60,InCaF3,4.5002,3.1748,4.11
61,InCdBr3,5.5303,1.4395,2.29
62,InCdCl3,5.249,1.4218,2.41
63,InCdF3,4.4818,2.3286,3.31
64,InGaCl3,5.1167,1.6241,2.44
65,InGeBr3,5.5063,1.8648,2.55
66,InGeCl3,5.2522,2.4197,3.22
67,InGeI3,5.8786,1.5468,2.09
68,InHgI3,5.9834,1.2518,1.94
69,InMgCl3,5.0128,3.4624,4.36
70,InMgF3,4.1118,2.907,3.85
71,InPbBr3,5.9276,2.4472,3.18
72,InPbCl3,5.6654,2.8993,3.72
73,InPbF3,4.8137,2.93,3.8
74,InPbI3,6.3156,1.9403,2.58
75,InSnBr3,5.8156,2.0286,2.7
76,InSnCl3,5.5576,2.5778,3.35
77,InSnF3,4.7012,2.5931,3.35
78,InSnI3,6.1922,1.4163,1.92
79,InZnF3,4.1782,2.69,3.68
80,KBaCl3,6.0274,4.6557,5.91
81,KBeF3,3.7388,8.1779,10.49
82,KCaBr3,5.7175,4.3378,5.51
83,KCaCl3,5.404,5.212,6.53
84,KCaF3,4.4819,6.4045,8.45
85,KCdBr3,5.5597,1.5936,2.62
86,KCdCl3,5.2613,2.2836,3.58
87,KCdF3,4.4693,3.1977,5.18
88,KCdI3,5.9982,1.9506,2.92
89,KGaBr3,5.4261,0.9179,1.46
90,KGaCl3,5.1262,1.5822,2.36
91,KGaF3,4.2757,2.0919,3.25
92,KGeBr3,5.5391,1.952,2.66
93,KGeCl3,5.2639,2.4821,3.31
94,KGeF3,4.445,4.1352,5.34
95,KGeI3,5.9341,1.5729,2.13
96,KHgBr3,5.63,1.6168,2.62
97,KHgCl3,5.3415,1.9222,3.09
98,KHgF3,4.6005,1.3489,2.97
99,KHgI3,6.0394,1.6401,2.53
100,KInBr3,5.7088,0.6031,1.01
101,KInCl3,5.4233,1.2776,1.98
102,KMgBr3,5.3581,3.0599,4.23
103,KMgCl3,5.0186,4.338,5.74
104,KMgF3,4.0454,7.0083,9.25
105,KMgI3,5.8442,2.1231,3.02
106,KPbBr3,5.9528,2.5709,3.33
107,KPbCl3,5.681,3.0431,3.9
108,KPbF3,4.8122,3.6726,4.83
109,KPbI3,6.3571,2.1821,2.81
110,KSnBr3,5.8422,2.014,2.69
111,KSnCl3,5.5724,2.7103,3.51
112,KSnF3,4.7091,3.5084,4.55
113,KSnI3,6.2384,1.5174,2.06
114,KSrCl3,5.6863,4.8847,6.19
115,KSrF3,4.767,5.7987,7.78
116,KTlF3,4.664,2.1191,3.22
117,KZnBr3,5.2919,2.6405,3.9
118,KZnCl3,4.9703,3.2661,4.75
119,KZnF3,4.1316,3.6536,6.09
120,LiCdF3,4.4153,3.3126,5.26
121,LiGaBr3,5.3643,1.8968,2.83
122,LiGaI3,5.7993,1.0207,1.64
123,LiGeCl3,4.6715,3.0338,4.02
124,LiZnF3,4.0312,3.7875,6.12
125,MgAgCl3,4.9142,2.8668,4.41
126,MgInBr3,5.3264,0.0868,0.48
127,MgTlBr3,5.7727,3.2377,4.12
128,NaCaCl3,5.3618,4.8825,6.19
129,NaCaF3,4.4324,5.6637,7.64
130,NaCdCl3,5.2245,2.692,4.05
131,NaCdF3,4.4296,3.1147,5.07
132,NaGeCl3,5.2159,3.5848,4.54
133,NaHgCl3,5.3069,2.2868,3.51
134,NaHgF3,4.5682,1.7877,3.47
135,NaMgCl3,4.9577,4.2869,5.67
136,NaMgF3,3.9372,6.4444,8.64
137,NaPbCl3,5.0326,3.2386,4.11
138,NaPbF3,4.7856,3.6232,4.78
139,NaSnBr3,5.3266,2.5664,3.31
140,NaSnCl3,5.017,3.1954,4.08
141,NaSnF3,4.6668,3.3561,4.37
142,NaZnCl3,4.9127,3.5965,5.09
143,NaZnF3,4.0529,3.5325,5.86
144,PbLiF3,3.9016,4.2778,5.66
145,RbBaCl3,6.0374,4.6814,5.94
146,RbBaF3,5.1241,5.3015,7.15
147,RbBaI3,6.7772,3.7191,4.69
148,RbBeF3,3.8586,7.4564,9.73
149,RbBrCl3,6.0604,1.1913,2.06
150,RbCaBr3,5.7403,4.4023,5.58
151,RbCaCl3,5.4306,5.185,6.51
152,RbCaF3,4.5181,6.4595,8.52
153,RbCaI3,6.1997,3.811,4.8
154,RbCdBr3,5.5829,1.33,2.38
155,RbCdCl3,5.2872,2.0812,3.39
156,RbCdF3,4.5023,3.1841,5.19
157,RbCdI3,6.0185,1.6269,2.57
158,RbGaBr3,5.4576,0.4589,0.61
159,RbGaCl3,5.1623,0.8779,1.35
160,RbGeBr3,5.562,1.6456,2.31
161,RbGeCl3,5.2923,2.0761,2.84
162,RbGeF3,4.4846,3.929,5.09
163,RbGeI3,5.9535,1.3677,1.89
164,RbHgBr3,5.6517,1.6255,2.59
165,RbHgCl3,5.364,1.7113,2.82
166,RbHgF3,4.6261,1.0551,2.72
167,RbHgI3,6.057,1.5776,2.42
168,RbInBr3,5.7315,0.6645,1.14
169,RbInCl3,5.4464,0.9297,1.54
170,RbMgBr3,5.392,2.7581,3.93
171,RbMgCl3,5.0598,4.11,5.51
172,RbMgF3,4.122,6.9818,9.24
173,RbMgI3,5.8748,1.8077,2.68
174,RbPbBr3,5.9672,2.3509,3.08
175,RbPbCl3,5.6954,2.8035,3.63
176,RbPbF3,4.9281,3.6219,4.78
177,RbPbI3,6.3705,2.0402,2.66
178,RbSnBr3,5.8571,1.7018,2.34
179,RbSnF3,4.7358,3.4396,4.48
180,RbSnI3,6.254,1.3785,1.91
181,RbSrBr3,6.0075,4.2259,5.4
182,RbSrCl3,5.7024,4.9163,6.22
183,RbSrF3,4.7904,5.9559,7.95
184,RbSrI3,6.4974,3.6399,4.63
185,RbTlBr3,5.859,0.3071,0.29
186,RbTlCl3,5.5819,0.5494,0.9
187,RbTlF3,4.6817,1.7867,2.77
188,RbZnBr3,5.3255,2.6303,3.87
189,RbZnCl3,5.0107,3.0692,4.53
190,SnLiF3,3.8775,3.3816,4.5
191,SnTlF3,4.697,2.7848,3.71
192,SrInBr3,5.9523,2.8244,3.57
193,SrLiF3,3.8797,7.7509,9.95
194,SrTlCl3,5.698,3.9555,4.95
195,TlCaBr3,5.6941,3.8964,4.9
196,TlCaCl3,5.3913,4.3515,5.41
197,TlCaF3,4.4967,4.2628,5.48
198,TlCaI3,6.1408,3.4008,4.28
199,TlCdBr3,5.5342,1.9865,2.99
200,TlCdCl3,5.2496,2.1279,3.34
201,TlCdF3,4.4795,3.6606,4.97
202,TlCdI3,5.9501,1.9846,2.85
203,TlGeBr3,5.5141,1.7998,2.48
204,TlGeCl3,5.2526,2.3517,3.14
205,TlGeF3,4.4603,3.0939,4.08
206,TlGeI3,5.8911,1.5426,2.1
207,TlHgBr3,5.602,1.8045,2.75
208,TlHgCl3,5.3264,2.0434,3.13
209,TlHgF3,4.6006,2.1555,3.57
210,TlHgI3,5.9923,1.6528,2.48
211,TlInCl3,5.5437,1.2512,1.96
212,TlMgCl3,5.0168,4.1763,5.41
213,TlMgF3,4.1108,4.2428,5.42
214,TlPbBr3,5.9309,2.4702,3.21
215,TlPbCl3,5.667,2.9178,3.75
216,TlPbF3,4.8104,3.2474,4.33
217,TlPbI3,6.3219,2.1328,2.76
218,TlSnBr3,5.8187,1.8943,2.55
219,TlSnI3,6.203,1.4494,1.97
220,TlSrF3,4.7676,4.3467,5.56
221,TlZnBr3,5.2642,2.4783,3.54
222,TlZnCl3,4.9634,2.8578,4.12
223,TlZnF3,4.1763,3.9819,5.25
224,ZnAgCl3,4.8719,1.9634,3.47
225,ZnInCl3,4.957,2.2925,3.36
