,compound,lattice,lattice_zun,PBE_bg,PBE_bg_zunger,HSE06_bg,HSE06_bg_zunger
0,AgZnF3,4.071776680045614,4.0717,1.59052,1.55,3.895353,3.87
1,BaLiBr3,5.216758067525007,5.2209,3.523241,3.49,4.633702,4.6
2,BaLiCl3,4.909375812439416,4.9126,4.317307,4.29,5.590972999999999,5.56
3,CsBaCl3,6.053764158745973,6.0541,4.667491,4.65,5.927902999999999,5.91
4,CsCaCl3,5.470474868329514,5.4658,5.328569999999999,5.27,6.649392,6.66
5,CsCaI3,6.2259178997513445,6.2298,3.749329,3.72,4.762176,4.72
6,CsCdBr3,5.620965594672592,5.6212,0.665832,0.54,1.8492,1.85
7,CsCdCl3,5.332317619095116,5.3333,1.7082059999999997,1.71,3.0464840000000004,3.04
8,CsCdF3,4.56104220879252,4.5589,3.2487250000000003,3.12,5.265707,5.28
9,CsCdI3,6.047530305997007,6.0487,0.01485,0.0,0.5765730000000001,0.53
10,CsGeI3,5.995626444073046,5.9983,1.481966,0.64,1.850827,1.0
11,CsHgCl3,5.404958066917361,5.4,0.139089,0.0,0.513341,0.51
12,CsMgBr3,5.44583359736794,5.4452,2.482765,2.48,3.646543,3.65
13,CsMgCl3,5.1293299720908,5.1277,3.945633,3.93,5.329246,5.31
14,CsMgF3,4.247587208817848,4.2481,6.697101,6.69,8.796173,8.82
15,CsMgI3,5.91557789425288,5.9144,1.141367,1.14,2.0261750000000003,2.03
16,CsPbBr3,6.001906029557749,5.9895,2.3222820000000004,1.67,2.9617560000000003,2.41
17,CsPbCl3,5.734097057101827,5.721,2.217741,2.19,2.939764,2.92
18,CsPbI3,6.39430632265556,6.389,2.0422259999999994,1.48,2.5626490000000004,2.0
19,CsSnBr3,5.894364969053295,5.8854,0.651125,0.63,1.0981219999999998,1.1
20,CsSnCl3,5.631562573331166,5.6204,1.0169919999999997,0.99,1.548172,1.56
21,CsSnF3,4.803940536445205,4.7841,2.058983,1.62,2.902589,2.58
22,CsSnI3,6.280420448640572,6.2718,1.2816169999999998,0.46,1.620812,0.81
23,CsSrBr3,6.030590860498033,6.0317,4.191131,4.17,5.342764000000001,5.32
24,CsSrCl3,5.729680934252702,5.7248,4.966335,4.97,6.261751,6.27
25,CsSrF3,4.831653908551147,4.8298,6.193512,6.19,8.191669999999998,8.2
26,CsZnBr3,5.380845759926465,5.3825,0.0545559999999999,0.0,1.235035,1.23
27,CsZnCl3,5.078963850614258,5.0797,1.283098,1.26,2.74676,2.72
28,CsZnF3,4.293113063422974,4.2915,3.5775429999999995,3.46,5.937538,5.96
29,CsZnI3,5.825835978196106,5.8277,0.004364,0.0,0.0041850000000001,0.0
30,InCaBr3,5.690934715073308,5.69,3.11547,3.1,4.192576,4.14
31,InCaCl3,5.394357896142638,5.3913,3.772919,3.77,4.746601999999999,4.76
32,InCaF3,4.509657705509952,4.5002,3.576773,3.58,4.539036,4.6
33,InCdBr3,5.532978811121833,5.5303,0.807637,0.81,1.9502230000000005,1.95
34,InCdCl3,5.252432349679776,5.249,1.83554,1.84,2.995977,3.08
35,InCdF3,4.48926949179762,4.4818,3.197704,3.21,4.181552,4.27
36,InGeBr3,5.5124950259119565,5.5063,0.5511659999999998,0.53,0.987533,0.97
37,InGeCl3,5.253927673595768,5.2522,0.4587789999999998,0.88,1.408302,1.43
38,InMgCl3,5.019460409763307,5.0128,3.68675,3.58,4.550011,4.47
39,InMgF3,4.127162599606613,4.1118,3.008516,2.9,3.898492,3.85
40,InPbBr3,5.941963639275698,5.9276,0.261832,1.57,2.2613270000000005,2.23
41,InPbCl3,5.680966000972274,5.6654,1.75822,1.71,2.457501,2.44
42,InPbF3,4.846937102555729,4.8137,1.9139979999999996,1.62,2.805485,2.54
43,InSnBr3,5.825915249258693,5.8156,0.471597,0.5,0.476736,0.93
44,InSnCl3,5.571343083291763,5.5576,0.6984570000000003,0.64,1.2202970000000004,1.19
