correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
Cs2TiCuF6,6.310786601,6.217359954,-2.828696248,1.502673921
RbK_LiAuCl6,7.056077148,7.178169666,-1.397153668,-1.700886493
Rb2CaSnF6,6.417630435,6.554136104,-3.156462029,-2.082740836
CsK_MoAgCl6,7.344576715,7.363546588,-1.45408379,-0.257618704
CsK_BeSnCl6,6.823439017,7.283302287,-1.609499939,-6.313939088
RbBaLiSnF6,6.01670089,6.189290674,-3.076016663,-2.788522833
Cs2PdCdF6,6.365304534,6.357275422,-2.302590086,0.126297993
CsRbZnSnBr6,7.697493709,7.927377328,-1.370234008,-2.899869775
K_BaNaPdF6,6.15529382,6.124891076,-2.729275121,0.496380158
CsRbSrPtCl6,7.541930217,7.63968565,-1.742094482,-1.279574023
CsRbCoZnF6,6.025893279,5.984944097,-2.493796516,0.684203247
Cs2CaBaF6,6.786740175,6.849747233,-3.615509325,-0.919845013
RbK_CaCuCl6,7.273229641,7.289134601,-1.810952237,-0.218200944
CsBaTiAgF6,6.85815796,6.544627172,-2.881106457,4.790659269
Rb2AsAuCl6,7.183356369,7.374997395,-1.280114891,-2.598523306
CsRbAsAgF6,6.295230252,6.436679903,-2.390300513,-2.197556095
Cs2PdSnCl6,7.43579349,7.468692141,-1.48926557,-0.440487442
RbBaCuAgF6,6.117110053,6.159295805,-2.524063755,-0.68491192
RbK_SrPdCl6,7.5193028,7.555661777,-1.760689094,-0.481214987
RbK_CaPdCl6,7.335455037,7.379252243,-1.760613364,-0.593518208
CsK_CuBiCl6,7.157900525,7.457153265,-1.482071795,-4.012962181
RbK_MnAuCl6,7.129616253,7.189511633,-1.405741057,-0.833093851
Cs2CrCoF6,6.133373509,6.078905098,-2.499257343,0.896023381
CsRbNaCuCl6,7.285179745,7.325934774,-1.494536868,-0.556311653
Cs2AsAgF6,6.36594093,6.491323802,-2.40024284,-1.931545486
Cs2NiPbBr6,7.92801052,7.908172123,-1.272439177,0.250859446
Rb2MgTiF6,6.368132961,5.93536914,-3.22904567,7.291270523
Cs2CuRbCl6,7.859350452,7.766331275,-1.50765473,1.197723524
CsRbCuPbBr6,7.659309943,7.866489435,-1.263014481,-2.633696941
