,correct_formula,A,A',B,B',X,lat_bvm,lat_opt,lat_err,hf_opt,pbe_bg
0,Cs2AgBiF6,Cs,Cs,Ag,Bi,F,6.603528808,6.736331898,-1.971445172,-2.508638585,2.73742
1,Cs2AlAgF6,Cs,Cs,Al,Ag,F,6.285330757,6.256387304,0.462622462,-2.997612301,3.463637
2,Cs2AlRbF6,Cs,Cs,Al,Rb,F,6.497462791,6.494910255,0.039300558,-3.382739546,6.481965
3,Cs2BaPtCl6,Cs,Cs,Ba,Pt,Cl,7.782346523,7.862865377,-1.024039585,-1.759556189,0.599646
4,Cs2CaCoCl6,Cs,Cs,Ca,Co,Cl,7.384952512,7.384952183,4.46E-06,-1.889818805,0.000641
5,Cs2CaCrF6,Cs,Cs,Ca,Cr,F,6.257824303,6.301192188,-0.688248885,-3.154007989,0.004471
6,Cs2CaCuF6,Cs,Cs,Ca,Cu,F,6.206912615,6.24183882,-0.559549934,-2.916729486,0.001967
7,Cs2CaFeF6,Cs,Cs,Ca,Fe,F,6.243682167,6.277588157,-0.54011173,-3.068932322,0.003798
8,Cs2CaMnBr6,Cs,Cs,Ca,Mn,Br,7.423136278,7.914385931,-6.207046981,-1.788691693,2.369374
9,Cs2CaMnF6,Cs,Cs,Ca,Mn,F,6.353990825,6.323804967,0.477336954,-3.232608227,3.076547
10,Cs2CaNiCl6,Cs,Cs,Ca,Ni,Cl,7.37222459,7.360570795,0.158327327,-1.900719532,1.013964
11,Cs2CaPbBr6,Cs,Cs,Ca,Pb,Br,8.332475599,8.334503683,-0.024333591,-1.822275008,3.754498
12,Cs2CaPbCl6,Cs,Cs,Ca,Pb,Cl,7.997306985,7.927238188,0.883899226,-2.108760417,4.364863
13,Cs2CaPdF6,Cs,Cs,Ca,Pd,F,6.311564418,6.377290579,-1.030628292,-2.796127974,0.014892
14,Cs2CaPtBr6,Cs,Cs,Ca,Pt,Br,7.790831804,7.900469556,-1.387737162,-1.493001367,0.248186
15,Cs2CaSnF6,Cs,Cs,Ca,Sn,F,6.482684259,6.635985508,-2.310150449,-3.181130413,4.290993
16,Cs2CaSnI6,Cs,Cs,Ca,Sn,I,8.806237142,8.873296271,-0.755740899,-1.361109462,2.595718
17,Cs2CaSrCl6,Cs,Cs,Ca,Sr,Cl,7.969022713,7.911904746,0.721924351,-2.510615872,5.133245
18,Cs2CaTiCl6,Cs,Cs,Ca,Ti,Cl,7.705978991,7.477395897,3.056987983,-2.168161729,0.009503
19,Cs2CaTiF6,Cs,Cs,Ca,Ti,F,6.738656914,6.310456606,6.785567745,-3.333151116,0
20,Cs2CaV_F6,Cs,Cs,Ca,V,F,6.749970623,6.271222472,7.634048276,-3.263913981,1.603984
