Compound,pbe_gap,hse06_gap
Cs2CdPbBr6,1.896816,2.5914
K_2NaAsF6,4.526685,5.82
CsK_CaCdF6,5.047755,6.9174
CsBaPdAgF6,0.0,0.0
CsRbAgBiF6,2.632819,4.1099
RbK_LiAuCl6,0.021811,0.0
Rb2CaSnF6,4.143227,5.1992
CsK_BeSnCl6,2.538137,3.1361
RbBaLiSnF6,3.307288,4.2631
Cs2PdCdF6,0.015174,0.6642
CsRbZnSnBr6,1.238438,1.7200000000000002
K_BaNaPdF6,0.000839,0.3030999999999999
Cs2CaBaF6,6.123764,8.05
Cs2ZnPbCl6,2.584866,3.5335
Cs2MgSnCl6,3.107214,3.7872000000000003
Rb2AsAuCl6,0.088037,0.8112000000000001
K_2ZnBaF6,4.394152,6.368600000000001
CsRbSrSnF6,3.937049,4.8649
CsRbAsAgF6,2.42653,3.7344999999999997
Cs2PdSnCl6,0.056379,0.0
CsRbLiRhF6,1.988879,3.8756000000000004
RbBaCuAgF6,0.041902,0.0
RbK_LiRhF6,2.022752,4.0866999999999996
RbK_SrPdCl6,0.0,0.0
Cs2MgBaI6,3.157665,4.1021
Cs2SrPbF6,4.869625,6.132899999999999
RbK_CaPdCl6,0.0,0.0
CsK_CuBiCl6,0.926676,1.9143999999999999
CsRbNaCuCl6,0.0,0.0
CsK_AlAgCl6,2.206459,3.5486999999999997
Cs2AsAgF6,2.47572,3.8301000000000003
Rb2GaAuCl6,0.16057,0.40480000000000005
RbK_AlAgCl6,2.197086,3.5703
Rb2CaPdCl6,0.0,0.4011999999999999
CsRbCuPbBr6,0.099883,0.0
K_2AgSbF6,2.08354,3.2464
CsBaCuSnF6,0.962199,2.2340000000000004
Cs2CuBaF6,0.007741,0.0
RbK_AsCsF6,3.603417,4.5956
Cs2PdCdBr6,0.0,0.0
Cs2CuZnF6,0.031754,0.0
RbBaLiMgF6,7.37823,9.3122
Cs2CaBaCl6,4.927563,6.2193000000000005
CsK_PdPbCl6,0.032858,0.0
Rb2AlAgF6,3.207743,5.2081
Cs2SrPdBr6,0.002004,0.1613
CsK_CaSrF6,6.081699,7.8971
Cs2SrCdI6,1.789306,2.6031
CsRbMgSnBr6,2.390117,3.0599
Rb2AlK_F6,6.449748,8.4927
RbK_MgSrF6,6.219469,8.0855
K_2CuCdF6,0.032317,0.31400000000000006
CsK_CdPbCl6,2.572396,3.387
Rb2CuPbCl6,0.105005,0.0
Rb2CuSnF6,0.147755,0.0
K_2CuBiF6,0.840666,2.1528000000000005
K_2NaRhF6,2.145574,4.1904
Rb2MgPdF6,0.001792,0.9836
Rb2MgSnF6,4.280887,5.3552
Rb2CuBiCl6,0.927317,2.0121
Rb2AgSbF6,2.205888,3.3439000000000005
RbK_MgPdF6,0.0,0.3091999999999999
Cs2CaZnCl6,3.754204,5.1518
CsK_NaAsF6,4.562829,5.7889
CsRbBeSrF6,6.763385,8.8076
RbBaBeAgF6,3.086054,4.9388000000000005
