id,prediction
BeSnRbTlF6,-2.542451
LiZnAgBaCl6,-1.7409337
LiBaMgAuI6,-0.9711207
CaCdLi2Cl6,-1.9108993
CaCuFeCsBr6,-1.4858035
GaCsCuTlCl6,-1.6000414
LiAgErHgF6,-2.2404735
Li2CuCeF6,-2.3922203
MnPtCuTlCl6,-1.1727982
CdHgCuBaCl6,-1.6546715
CuTlSnBaI6,-1.4289926
Cu2CrZnI6,0.050466835
SnEuCsTlCl6,-1.5317551
FeAgNaMgBr6,-1.2236059
NaMnCuHgCl6,-1.3183373
AgHoLiCsCl6,-1.4886146
CsPtLiCrCl6,-1.3303744
Cs2LaTlI6,-1.1508349
NiTlCuSnBr6,-0.90219057
NaCuAsTlF6,-2.272109
NaGdLiCsBr6,-1.5806453
LiPbBeTlCl6,-1.5642147
LiRbNaLuF6,-2.8601544
MnCsTiCuCl6,-1.5648661
Cu2NaGdF6,-2.3348396
NiCuLiSnCl6,-1.1352514
MgHgLiSrF6,-3.1377792
TiCsCuPbCl6,-1.5767611
BaTlCuSrCl6,-1.9939502
CuZnSrAgBr6,-1.214519
CuCsCoZnF6,-2.2040837
SrAgCaCsBr6,-1.7231323
NaTlFeCuF6,-2.3014152
CaAuNaCuI6,-0.6644724
CaHgLiNiCl6,-1.5159253
Li2CsLaF6,-2.5760205
NaBaBeRbI6,-1.494089
RbHgLuTlCl6,-1.5286857
CuSrTl2Br6,-1.3230208
AgGdLiRbCl6,-1.5114915
CuBiNaCsBr6,-1.4309019
AgNdLiCsCl6,-1.4731883
LiAgGaCsF6,-2.1458676
NaDyRbHgF6,-2.5432396
CdPbNa2F6,-2.914346
AgSnNaMnCl6,-1.3694733
TiCuRbCsI6,-1.6048061
RbTlInAuCl6,-1.3595062
MgCrCu2I6,-1.1865344
CuTlCaSrF6,-3.2805827
MgPtCs2F6,-2.1648414
NaPdBeCsF6,-2.2166831
TiRbTlPbCl6,-1.7464476
CsHgCoRbCl6,-1.5410832
LiAgBeCoF6,-2.52716
RbCdPdAgBr6,-1.0795424
SrAgBeTlCl6,-1.6338519
Ag2LiEuBr6,-0.91022706
Li2NiPtCl6,-1.1421534
Rb2LiSbBr6,-1.4102297
NaMgCuHgCl6,-1.5178862
SnAuLiPdCl6,-1.0520524
Li2DyAuI6,-0.63619006
Na2MoTlF6,-2.6685069
TiRbFeAgBr6,-1.1586041
CaCuHgTlF6,-2.536729
MnTlAgPbF6,-2.254841
LiMoNaRbCl6,-1.6910396
CuAgLiCeBr6,-0.8923681
AgCdLiSnBr6,-1.0384873
AgCeLiNaBr6,-1.1620153
AgHgBePbF6,-2.241993
CoAuCaCuCl6,-1.1579129
NaHgLiScCl6,-1.9907631
NbTlLi2Cl6,-1.6021467
SrAuCoTlCl6,-1.3402954
TiCsCuPtBr6,-1.1786441
Cs2TiCuF6,-2.774077
CuAgCrSrF6,-2.5980446
CuHgAgSmF6,-1.9601235
NaLaRbCsI6,-1.6339617
TiCsSnTlCl6,-1.7507803
SrCsLiPdF6,-2.710998
CuTlCaCrF6,-2.8459938
NaAgMnHgCl6,-1.2741622
CaEuCuHgCl6,-1.5340779
CaCrLiTlCl6,-1.8646455
BeNaEuTlF6,-2.6584852
NaScLiRbCl6,-2.091419
RbTlCoCdF6,-2.3831608
Cu2CaPtBr6,-0.7880239
CrAuLiEuI6,-0.8013309
CuZnCdCsI6,-1.5655988
RhHgCuRbCl6,-1.3248526
NaHgFeSnCl6,-1.2956508
RbEuCaCsI6,-1.7450613
BeHgCoCsCl6,-1.489005
LiAgHg2Br6,-0.7986802
BeNiAg2Cl6,-1.1199956
NaNiAuHgI6,-0.47959328
NiCsTl2F6,-2.3443792
CsGdNaCuI6,-0.87717175
CaEuTl2I6,-1.2641692
Na2CuRhCl6,-1.1565083
SrAuCsPbI6,-1.601351
LiNiNaPbF6,-2.5058448
BeMgCsAuCl6,-1.6473922
CoBaLiCsCl6,-1.6708237
CrPbNaCsF6,-2.4640255
CsTlCuZnI6,-0.76272976
MnHgLiNaF6,-2.6837194
CuAgHgTlCl6,-1.0120858
CaSnNaCsCl6,-1.7797056
CaCsLiTiCl6,-2.110682
RbLaLiHgCl6,-1.5697992
SrTlNiCuI6,-0.9094142
CaAgNiCsBr6,-1.507151
NiRbLiCuI6,-0.6920702
BePdRb2I6,-1.5105904
CuPtLiSrF6,-2.5513022
ZnCsNaPbCl6,-1.6550297
BaTlMgCuF6,-3.014666
CuCsSmAuCl6,-1.14446
RbPbCaCsI6,-1.7310418
LiZnAgCdF6,-2.2439518
LiRbNaLaCl6,-1.7307667
NaBaPtAuCl6,-1.2930135
SnCsAgPtCl6,-1.2198825
FePbAuTlI6,-0.7528075
InCsLiAgBr6,-1.2568913
CoTlCuSnCl6,-1.1984433
MnCuCsBaBr6,-1.5938154
Cs2RbHoCl6,-1.8493861
NaSbLiRbBr6,-1.5204815
FeAuCaTlCl6,-1.4760349
Li2RbLaF6,-2.7634957
NaNiRbEuF6,-2.481135
AgBaRbEuF6,-2.7650678
SrTlBeCsF6,-2.7349818
LiAgRbSbCl6,-1.4292924
FeAuNaMgCl6,-1.3521924
FeCsRbHgF6,-2.4538293
LiBaPdTlBr6,-1.3927324
CuPmAuTlCl6,-1.1342492
NaTlCaPbCl6,-1.965427
CdCsCrTlBr6,-1.3009268
CdEuLiTlBr6,-1.3312591
CuSnRb2F6,-2.3334038
ZnAuSnCsCl6,-1.3067627
CrAuCuPbCl6,-1.0399207
CsAuZnBaCl6,-1.6553397
AgSnCrTlF6,-2.2541
ZnSrRbCsI6,-1.6663456
PdCdRbCsBr6,-1.5185264
SbCsNaRbF6,-2.819054
LiErRbAgF6,-2.484585
LiCaBaHgCl6,-2.0502832
FeAgNiHgCl6,-1.0048887
LiTlNiCdCl6,-1.3984114
FeTlNaEuF6,-2.5161748
LiBeNiAgBr6,-1.0425141
NaRbCr2Cl6,-1.5764395
MnCuTiHgF6,-2.402982
CuAsAgTlBr6,-0.9554889
MgTlSrAgF6,-2.91888
RhHgAu2Cl6,-0.93407434
AlCuRbAuCl6,-1.501318
CuSnLiSrCl6,-1.7397397
CsHgCoAgF6,-1.9976447
PmTlCs2Br6,-1.5944694
NaAuLiAlI6,-0.7629403
FeHgRbCsCl6,-1.5496436
MgAgSrTlF6,-2.962024
AgHgLiRhF6,-2.1036532
Ag2MgCaBr6,-1.4211992
AgCsHg2Cl6,-1.2021478
RbHgCdSnF6,-2.4094574
RuAgCuHgF6,-1.7178855
SrPtAgHgCl6,-1.2141137
RbErAgCsCl6,-1.6397536
NaFeLiTlBr6,-1.4078285
LiEuNaMgBr6,-1.5224564
TiTlCsAuCl6,-1.601392
CuRbCsTmF6,-2.3692176
NiTlNaMnF6,-2.5903573
Rb2CsHoBr6,-1.5815312
NaPtNiCsF6,-1.9255698
NaInRb2Br6,-1.561661
ZnAuMnCuCl6,-0.99794483
NiAgCrCsBr6,-1.3118047
NaCsNiZnCl6,-1.4463264
LiGaCuTlCl6,-1.5135903
NaTlMgMnF6,-3.0812483
SnHgFeCuCl6,-1.1055535
NaRbAgLuCl6,-1.4945148
CaHgSrAuCl6,-1.7931032
BeBaAgTlF6,-2.7238052
CaCuBeNaF6,-3.1910563
CuAgCrRbBr6,-0.99635214
MgRbSrTlBr6,-1.8505152
LiSnCaHgCl6,-1.8041214
MnTlLiZnF6,-2.6506474
RbHgLiMnCl6,-1.476719
Cs2RbLaF6,-2.8867617
NaCsBePtBr6,-1.253683
Rb2AgErBr6,-1.2719233
AgAuCaMnCl6,-1.258567
Mg2LiRbCl6,-1.9934442
Cs2CdPbBr6,-1.5201006
Na2CoCsCl6,-1.6601008
ZnAuBeCsCl6,-1.3673276
LiCdNaZnF6,-2.8431735
LiTlNiPtBr6,-1.0515754
AlCuRbAgCl6,-1.5604347
CsAuAgHgF6,-1.8916582
NaHgPdAgCl6,-1.2073376
Cs2NaAlBr6,-1.6651086
Li2BeBaF6,-3.1169102
CrHgNaMnF6,-2.55811
BeCsCrAuI6,-0.6528525
RbBiLiTlBr6,-1.4363526
NaCrCuCdBr6,-1.1706115
BaAuRbPbCl6,-1.4818937
CuDyHgTlF6,-2.139204
LiTlAsRbCl6,-1.5759016
RbTlRhHgF6,-2.1679935
MgCsMnAgF6,-2.5683954
Cs2LiTlCl6,-1.7908508
CrCsNaSnI6,-1.0316824
Cu2RbHgCl6,-1.1426328
Rb2TiPtCl6,-1.5521598
FeRbCuBaI6,-1.5053817
LiHgCuSnCl6,-1.2732064
AgCsYbTlBr6,-1.2367184
CuSnLiTlCl6,-1.3653485
RbAgSnHgCl6,-1.2635478
NaMnRbPtF6,-2.3984163
CuRbTiPbF6,-2.6058614
NaZnBaHgF6,-2.8471987
AlHgLiCsCl6,-1.7746555
NiCuLiZnI6,-0.20475498
CsHgCuMoF6,-2.2081287
MgCsMnRbCl6,-1.8802418
TiAuNaSnCl6,-1.3733243
NaSnSrTlI6,-1.3062247
RbTlZnPbF6,-2.558326
LiCsRbYbCl6,-1.7545513
LiCrCoTlF6,-2.3912828
LiSnMgRbI6,-1.4436389
LiTlRbErF6,-2.75026
RbPdBeAuCl6,-1.1599174
AgAuMoHgCl6,-0.8495363
Na2CaSnF6,-3.1238844
RbTlTbHgF6,-2.3900044
PdTlLiPtBr6,-1.0060586
LiTlTmAuCl6,-1.3163931
Rb2PmTlCl6,-1.7037559
ZnAgNaCrCl6,-1.3214504
CaLiCl3,-1.2806016
BeCsRbPbF6,-2.7594206
LiAgFeEuBr6,-0.9996357
FePtRbTlCl6,-1.3242445
BeHgNaSrCl6,-1.9202017
MgEuCu2F6,-2.3231964
NaSnZnCsI6,-1.5880009
AgSbRbTlBr6,-1.2951761
FeHgNiRbCl6,-1.387818
LiCsCuYbI6,-0.84097135
NiCdRbAgBr6,-1.1695223
CdCsLiSnBr6,-1.3554481
Cu2NaBiF6,-2.3468401
CuAuSrPtCl6,-1.0575994
AgPtCuEuBr6,-0.7308318
RbPbBeNaI6,-0.94650424
MnTlSnHgF6,-2.309024
Sn2RbCsBr6,-1.5397458
CrFeLiHgF6,-2.1633322
LiMnCoTlF6,-2.3652608
NaSrMnHgF6,-2.8223517
NaSnBeHgF6,-2.4815943
NaCuMnEuBr6,-1.13883
BeCsAgHgF6,-2.3180134
NiAgNaCoF6,-2.1066992
NiCuLiBeI6,-0.4579485
AgAuNdHgCl6,-0.8025667
BeTlZnCsF6,-2.4309294
CuSnLiTiF6,-2.6430607
LiErCuAgF6,-2.1265817
Cs2HgTlCl6,-1.6119993
CsHgCuYbCl6,-1.3335706
CsEuRbPbI6,-1.3467492
NaPrTl2Cl6,-1.6161603
Cu2NiPtF6,-1.4833167
LiAgHgPbBr6,-1.0229819
ZnEuCuAgF6,-2.0091722
LiTlMgMnF6,-3.0816453
CaBaRbAgF6,-3.1341639
BePdRb2Cl6,-1.5266776
Cu2NaAlBr6,-0.91516674
AgBaLiPdBr6,-1.3015404
LiCoTlPbF6,-2.3390496
CuCsNaAsF6,-2.4430282
CuNbLiCsCl6,-1.5210972
CoBaAg2F6,-2.1930017
CuHgCsErCl6,-1.3748779
NaAuCrSrCl6,-1.5941546
AgGdHg2F6,-1.9929104
CuRbZnPtBr6,-1.0131252
AgPtTlPbF6,-1.9378035
CuAuCoSrCl6,-1.1725504
CaCuBaHgF6,-2.9358237
RbSnSrTlI6,-1.317917
ZnTlAgPbBr6,-1.131943
CoAuMnHgCl6,-0.89609754
CuPtRbTlCl6,-1.169089
BaAuMnRbCl6,-1.4806637
Li2NiZnF6,-2.6489174
LiCuTlBiI6,-0.7851807
CoAgLiCaF6,-2.759907
LiAuRbTmCl6,-1.350887
CsHgRbSnCl6,-1.6277031
RbCsMnNiBr6,-1.1895648
CoRbNaCuCl6,-1.372873
LiTlBeNiCl6,-1.357931
PdTlLiSrCl6,-1.7716814
CoHgAgAuCl6,-1.0075731
CuCsZnPbBr6,-1.1289061
SrCsPdAgCl6,-1.5398811
LiRhRbCsCl6,-1.5507336
GaRbCs2F6,-2.4069607
ZnAgFeCuBr6,-0.9975659
LiCdNiCuF6,-2.2828877
SnCsCaAgBr6,-1.5166323
CuBaLiSrF6,-3.2330306
SnHgRb2Cl6,-1.5411007
AgPtHgTlF6,-1.7781651
CsTlCaPbBr6,-1.715677
NiCuAgBaF6,-2.3026288
BeNaRbHgBr6,-1.4108485
Ag2CaCrBr6,-1.15646
LiScCsHgCl6,-1.8583357
MgFeCsTlBr6,-1.5667788
CuPtSnTlBr6,-0.81364745
BeAgRbEuCl6,-1.4669482
Sr2RbAgF6,-3.1434503
NaCuBeRbCl6,-1.534845
RbHgBeNaI6,-0.87779
SnCsBeAuI6,-0.7200737
RbCsSrBaBr6,-2.0089927
Mg2LiHgF6,-2.8538804
MgCuNaSrBr6,-1.6153244
NaScCu2Cl6,-1.3518121
SnTlRbBaI6,-1.6046022
BeTlMgHgCl6,-1.6543113
MgAgCaCuBr6,-1.4272157
CrTlCaCsBr6,-1.708258
CsDyRb2Cl6,-1.7421614
MnFeRbAgF6,-2.2617297
NiCsFeAgCl6,-1.1684755
CsPbPdTlF6,-2.370475
MgSrAuTlCl6,-1.7649236
RbCdF3,-1.5269859
Rb2CdHgF6,-2.581753
Zn2LiNaI6,-0.8195586
AgTlSbHgF6,-2.175187
BeRbCaCuF6,-2.8631809
CrCsLiSrF6,-3.1058939
MgAgNaPtF6,-2.3278785
MgAuRbSrI6,-1.4545883
RbSrCl3,-1.3507363
AlAgLiNaCl6,-1.6553262
LiSrRbCdI6,-1.4460617
CdCsZnRbBr6,-1.4524144
BeTlSrAuI6,-1.0508633
NaPtCaCuF6,-2.455566
NaPtLiCoCl6,-1.0556799
Ag2NiPtBr6,-0.7596152
NiTlTiCsBr6,-1.4266968
NaAuCd2Cl6,-1.2299422
CaAgFeCsBr6,-1.5040699
Ag2NiHgBr6,-0.5597813
CuSrHgPbF6,-2.4734232
CdBaNaAgF6,-2.7604516
ScRbLiCsI6,-1.6753118
LiCsNaYbI6,-0.993397
NaCsPdHgBr6,-1.1699647
CrFeNaAgF6,-2.140733
Cu2LiAgF6,-1.9878992
AgBaCuTlF6,-2.4813168
Li2RbPrF6,-2.7670689
ZnCdRb2Br6,-1.4568927
CaTlCuPbI6,-0.9433789
RbHgMnCdF6,-2.5311115
CoHgCsTlCl6,-1.4117306
NaAgLaHgF6,-2.286916
NaCuLiTmI6,-0.7295964
NaAuTiZnCl6,-1.3591437
AgEuCrCsBr6,-1.3937368
