id,prediction
BeSnRbTlF6,3.3194466
LiZnAgBaCl6,3.206883
LiBaMgAuI6,0.30834222
CaCdLi2Cl6,2.4264293
CaCuFeCsBr6,1.8753514
GaCsCuTlCl6,1.1581929
LiAgErHgF6,0.77865285
Li2CuCeF6,0.2944196
MnPtCuTlCl6,0.29060578
CdHgCuBaCl6,0.6456494
CuTlSnBaI6,1.6293029
Cu2CrZnI6,0.57281685
SnEuCsTlCl6,2.644114
FeAgNaMgBr6,1.500403
NaMnCuHgCl6,0.060855746
AgHoLiCsCl6,2.1398609
CsPtLiCrCl6,0.04708469
Cs2LaTlI6,2.499943
NiTlCuSnBr6,0.24866557
NaCuAsTlF6,3.1658907
NaGdLiCsBr6,2.2490096
LiPbBeTlCl6,3.1681874
LiRbNaLuF6,3.4877691
MnCsTiCuCl6,0.046716332
Cu2NaGdF6,2.8805504
NiCuLiSnCl6,1.2432525
MgHgLiSrF6,4.596279
TiCsCuPbCl6,0.36655545
BaTlCuSrCl6,2.2023401
CuZnSrAgBr6,1.1283298
CuCsCoZnF6,-0.030838192
SrAgCaCsBr6,2.4692168
NaTlFeCuF6,-0.103958964
CaAuNaCuI6,0.13843822
CaHgLiNiCl6,0.6318048
Li2CsLaF6,2.335678
NaBaBeRbI6,2.4985662
RbHgLuTlCl6,1.5324664
CuSrTl2Br6,2.4039497
AgGdLiRbCl6,2.3747141
CuBiNaCsBr6,1.7394865
AgNdLiCsCl6,2.139443
LiAgGaCsF6,1.6933113
NaDyRbHgF6,0.58808607
CdPbNa2F6,4.2934065
AgSnNaMnCl6,1.1116174
TiCuRbCsI6,1.4049729
RbTlInAuCl6,0.036150753
MgCrCu2I6,-0.027443051
CuTlCaSrF6,6.1876297
MgPtCs2F6,2.4470844
NaPdBeCsF6,1.4835896
TiRbTlPbCl6,1.2068563
CsHgCoRbCl6,0.5844037
LiAgBeCoF6,1.6014172
RbCdPdAgBr6,0.010841251
SrAgBeTlCl6,2.750916
Ag2LiEuBr6,0.6428617
Li2NiPtCl6,0.08680385
Rb2LiSbBr6,2.398295
NaMgCuHgCl6,0.06907785
SnAuLiPdCl6,0.023155332
Li2DyAuI6,0.30593562
Na2MoTlF6,2.263688
TiRbFeAgBr6,0.104120135
CaCuHgTlF6,0.36750412
MnTlAgPbF6,1.1586401
LiMoNaRbCl6,3.0142088
CuAgLiCeBr6,0.36069006
AgCdLiSnBr6,0.8192314
AgCeLiNaBr6,1.4096411
AgHgBePbF6,3.932879
CoAuCaCuCl6,0.42721188
NaHgLiScCl6,3.7873826
NbTlLi2Cl6,2.4583044
SrAuCoTlCl6,0.44677246
TiCsCuPtBr6,0.10899663
Cs2TiCuF6,-0.02965945
CuAgCrSrF6,0.5499356
CuHgAgSmF6,0.6722862
NaLaRbCsI6,1.6095757
TiCsSnTlCl6,0.716684
SrCsLiPdF6,0.03752309
CuTlCaCrF6,0.12213123
NaAgMnHgCl6,0.21896303
CaEuCuHgCl6,0.022853494
CaCrLiTlCl6,2.2318616
BeNaEuTlF6,2.7829995
NaScLiRbCl6,4.36115
RbTlCoCdF6,0.03302163
Cu2CaPtBr6,0.13234687
CrAuLiEuI6,0.46922946
CuZnCdCsI6,1.5126742
RhHgCuRbCl6,0.7912198
NaHgFeSnCl6,0.08668506
RbEuCaCsI6,1.6360885
BeHgCoCsCl6,1.5801107
