id,prediction
BeSnRbTlF6,-2.516046
LiZnAgBaCl6,-1.7123169
LiBaMgAuI6,-1.1440418
CaCdLi2Cl6,-1.9279585
CaCuFeCsBr6,-1.4193815
GaCsCuTlCl6,-1.514019
LiAgErHgF6,-2.235781
Li2CuCeF6,-2.4765954
MnPtCuTlCl6,-1.1063427
CdHgCuBaCl6,-1.5168073
CuTlSnBaI6,-1.0322136
Cu2CrZnI6,-0.55441225
SnEuCsTlCl6,-1.7286682
FeAgNaMgBr6,-1.2119596
NaMnCuHgCl6,-1.2864487
AgHoLiCsCl6,-1.6091001
CsPtLiCrCl6,-1.4212301
Cs2LaTlI6,-1.1683978
NiTlCuSnBr6,-0.94427073
NaCuAsTlF6,-2.214662
NaGdLiCsBr6,-1.6125065
LiPbBeTlCl6,-1.5889401
LiRbNaLuF6,-2.9069805
MnCsTiCuCl6,-1.4520137
Cu2NaGdF6,-2.2981632
NiCuLiSnCl6,-1.1093702
MgHgLiSrF6,-3.160572
TiCsCuPbCl6,-1.6497917
BaTlCuSrCl6,-1.9431486
CuZnSrAgBr6,-1.2966783
CuCsCoZnF6,-2.189244
SrAgCaCsBr6,-1.8721969
NaTlFeCuF6,-2.325625
CaAuNaCuI6,-0.94541323
CaHgLiNiCl6,-1.5925484
Li2CsLaF6,-2.7352061
NaBaBeRbI6,-1.3213856
RbHgLuTlCl6,-1.4982842
CuSrTl2Br6,-1.4646728
AgGdLiRbCl6,-1.5719326
CuBiNaCsBr6,-1.4845927
AgNdLiCsCl6,-1.6068268
LiAgGaCsF6,-2.4189677
NaDyRbHgF6,-2.4816017
CdPbNa2F6,-2.819271
AgSnNaMnCl6,-1.3820108
TiCuRbCsI6,-1.5985072
RbTlInAuCl6,-1.3414408
MgCrCu2I6,-0.71205235
CuTlCaSrF6,-3.2228901
MgPtCs2F6,-2.4651144
NaPdBeCsF6,-2.3135953
TiRbTlPbCl6,-1.7125304
CsHgCoRbCl6,-1.4781792
LiAgBeCoF6,-2.3174148
RbCdPdAgBr6,-0.95597184
SrAgBeTlCl6,-1.7107651
Ag2LiEuBr6,-1.0099514
Li2NiPtCl6,-1.2436702
Rb2LiSbBr6,-1.4344275
NaMgCuHgCl6,-1.4845928
SnAuLiPdCl6,-0.9439162
Li2DyAuI6,-0.8218007
Na2MoTlF6,-2.6508818
TiRbFeAgBr6,-1.138008
CaCuHgTlF6,-2.382996
MnTlAgPbF6,-2.2373557
LiMoNaRbCl6,-1.7792486
CuAgLiCeBr6,-0.9377836
AgCdLiSnBr6,-1.054746
AgCeLiNaBr6,-1.2175474
AgHgBePbF6,-2.297532
CoAuCaCuCl6,-1.187484
NaHgLiScCl6,-1.9883544
NbTlLi2Cl6,-1.6119531
SrAuCoTlCl6,-1.4081072
TiCsCuPtBr6,-1.1670533
Cs2TiCuF6,-2.7417552
CuAgCrSrF6,-2.5084202
CuHgAgSmF6,-2.021421
NaLaRbCsI6,-1.6427853
TiCsSnTlCl6,-1.6998739
SrCsLiPdF6,-2.703546
CuTlCaCrF6,-2.72652
NaAgMnHgCl6,-1.2896141
CaEuCuHgCl6,-1.5138476
CaCrLiTlCl6,-1.9272249
BeNaEuTlF6,-2.6012712
NaScLiRbCl6,-2.0664604
RbTlCoCdF6,-2.386911
Cu2CaPtBr6,-0.9767065
CrAuLiEuI6,-0.922427
CuZnCdCsI6,-1.4517347
RhHgCuRbCl6,-1.2662791
NaHgFeSnCl6,-1.2611933
RbEuCaCsI6,-1.7714688
BeHgCoCsCl6,-1.4202223
LiAgHg2Br6,-0.9502306
BeNiAg2Cl6,-0.98144114
NaNiAuHgI6,-0.64172536
NiCsTl2F6,-2.407619
CsGdNaCuI6,-1.0096563
CaEuTl2I6,-1.2326372
Na2CuRhCl6,-1.4169067
SrAuCsPbI6,-1.4809116
LiNiNaPbF6,-2.6085553
BeMgCsAuCl6,-1.5551586
CoBaLiCsCl6,-1.9160652
CrPbNaCsF6,-2.478396
CsTlCuZnI6,-0.85036755
MnHgLiNaF6,-2.6146274
CuAgHgTlCl6,-1.0286264
CaSnNaCsCl6,-2.0311751
CaCsLiTiCl6,-2.1266394
RbLaLiHgCl6,-1.5159471
SrTlNiCuI6,-0.91264546
CaAgNiCsBr6,-1.427034
NiRbLiCuI6,-0.6915364
BePdRb2I6,-1.047211
CuPtLiSrF6,-2.6562486
ZnCsNaPbCl6,-1.6461613
BaTlMgCuF6,-2.9488244
CuCsSmAuCl6,-1.1304485
RbPbCaCsI6,-1.7478803
LiZnAgCdF6,-2.3072934
LiRbNaLaCl6,-1.7750725
NaBaPtAuCl6,-1.3729126
SnCsAgPtCl6,-1.1184919
FePbAuTlI6,-0.77556527
InCsLiAgBr6,-1.2409194
CoTlCuSnCl6,-1.1380373
MnCuCsBaBr6,-1.5397053
Cs2RbHoCl6,-1.8658044
NaSbLiRbBr6,-1.6037185
FeAuCaTlCl6,-1.4681995
Li2RbLaF6,-2.801557
NaNiRbEuF6,-2.5435195
AgBaRbEuF6,-2.7572935
SrTlBeCsF6,-2.8446212
LiAgRbSbCl6,-1.4296057
