id,prediction
BeSnRbTlF6,3.8839989
LiZnAgBaCl6,3.508255
LiBaMgAuI6,0.8506769
CaCdLi2Cl6,3.6917222
CaCuFeCsBr6,-0.004404837
GaCsCuTlCl6,2.1982954
LiAgErHgF6,1.9735982
Li2CuCeF6,1.0136468
MnPtCuTlCl6,0.46653667
CdHgCuBaCl6,3.7608094
CuTlSnBaI6,1.6895084
Cu2CrZnI6,-0.15358512
SnEuCsTlCl6,3.7400317
FeAgNaMgBr6,1.3661629
NaMnCuHgCl6,0.15977614
AgHoLiCsCl6,3.0453606
CsPtLiCrCl6,0.120458975
Cs2LaTlI6,1.8648392
NiTlCuSnBr6,0.25233635
NaCuAsTlF6,3.126186
NaGdLiCsBr6,3.1511917
LiPbBeTlCl6,4.093053
LiRbNaLuF6,5.7033277
MnCsTiCuCl6,-0.012576008
Cu2NaGdF6,0.35123855
NiCuLiSnCl6,1.6871523
MgHgLiSrF6,6.8792458
TiCsCuPbCl6,-0.022467893
BaTlCuSrCl6,2.7418265
CuZnSrAgBr6,0.3505834
CuCsCoZnF6,-0.00895791
SrAgCaCsBr6,2.8915737
NaTlFeCuF6,0.01022066
CaAuNaCuI6,0.044735733
CaHgLiNiCl6,3.0005364
Li2CsLaF6,3.9554875
NaBaBeRbI6,2.8050466
RbHgLuTlCl6,4.263322
CuSrTl2Br6,1.8120654
AgGdLiRbCl6,3.1293843
CuBiNaCsBr6,3.5892537
AgNdLiCsCl6,2.8605943
LiAgGaCsF6,3.5446422
NaDyRbHgF6,4.7803392
CdPbNa2F6,4.798171
AgSnNaMnCl6,2.4458592
TiCuRbCsI6,1.7027906
RbTlInAuCl6,0.72597176
MgCrCu2I6,-0.023258638
CuTlCaSrF6,4.9727197
MgPtCs2F6,3.436337
NaPdBeCsF6,1.7495973
TiRbTlPbCl6,0.2798662
CsHgCoRbCl6,0.21558976
LiAgBeCoF6,-0.076115124
RbCdPdAgBr6,0.0011040043
SrAgBeTlCl6,4.2803297
Ag2LiEuBr6,1.6340244
Li2NiPtCl6,0.44748878
Rb2LiSbBr6,3.0038092
NaMgCuHgCl6,0.1450433
SnAuLiPdCl6,-0.119325444
Li2DyAuI6,0.408331
Na2MoTlF6,3.5622573
TiRbFeAgBr6,-0.051525604
CaCuHgTlF6,3.156801
MnTlAgPbF6,2.9169152
LiMoNaRbCl6,2.7464492
CuAgLiCeBr6,0.27017435
AgCdLiSnBr6,2.0027802
AgCeLiNaBr6,1.8938564
AgHgBePbF6,3.874576
CoAuCaCuCl6,-0.0143972095
NaHgLiScCl6,4.761349
NbTlLi2Cl6,2.9558868
SrAuCoTlCl6,-0.027577061
TiCsCuPtBr6,-0.03547149
Cs2TiCuF6,-0.12763277
CuAgCrSrF6,0.23818037
CuHgAgSmF6,0.012254098
NaLaRbCsI6,1.7468334
