id,prediction
BeSnRbTlF6,2.873116
LiZnAgBaCl6,1.9375149
LiBaMgAuI6,0.1662607
CaCdLi2Cl6,2.6856728
CaCuFeCsBr6,0.026994968
GaCsCuTlCl6,0.7307846
LiAgErHgF6,0.010185142
Li2CuCeF6,0.011455739
MnPtCuTlCl6,0.024126954
CdHgCuBaCl6,0.00908538
CuTlSnBaI6,0.31185132
Cu2CrZnI6,0.200475
SnEuCsTlCl6,2.9335027
FeAgNaMgBr6,0.1819211
NaMnCuHgCl6,0.0065932265
AgHoLiCsCl6,0.44006824
CsPtLiCrCl6,0.21223012
Cs2LaTlI6,1.7984377
NiTlCuSnBr6,0.06788467
NaCuAsTlF6,2.075045
NaGdLiCsBr6,2.3433561
LiPbBeTlCl6,3.053578
LiRbNaLuF6,2.547145
MnCsTiCuCl6,-0.00014568493
Cu2NaGdF6,0.058718197
NiCuLiSnCl6,0.024474042
MgHgLiSrF6,2.4352093
TiCsCuPbCl6,-0.0014316384
BaTlCuSrCl6,1.3347985
CuZnSrAgBr6,0.06214843
CuCsCoZnF6,-0.009958285
SrAgCaCsBr6,3.113486
NaTlFeCuF6,0.0027816377
CaAuNaCuI6,0.0011183142
CaHgLiNiCl6,-0.004654261
Li2CsLaF6,1.7640088
NaBaBeRbI6,2.4397278
RbHgLuTlCl6,0.14962664
CuSrTl2Br6,0.99948853
AgGdLiRbCl6,0.5343863
CuBiNaCsBr6,-0.024179941
AgNdLiCsCl6,0.53504926
LiAgGaCsF6,1.492333
NaDyRbHgF6,0.53767926
CdPbNa2F6,3.2995746
AgSnNaMnCl6,0.9294742
TiCuRbCsI6,1.6237625
RbTlInAuCl6,0.11978178
MgCrCu2I6,0.00094264373
CuTlCaSrF6,3.8290036
MgPtCs2F6,0.2067037
NaPdBeCsF6,0.027786493
TiRbTlPbCl6,0.054038763
CsHgCoRbCl6,0.008549027
LiAgBeCoF6,0.02499559
RbCdPdAgBr6,0.005474339
SrAgBeTlCl6,3.1375403
Ag2LiEuBr6,-0.0051803268
Li2NiPtCl6,0.0023181937
