file_name,index,label
CsRbMnCdCl6.cif,0,-1.666534055
RbK_CaMnCl6.cif,1,-2.044948703
CsBaNiCuF6.cif,2,-2.590126163
Cs2SrPtCl6.cif,3,-1.765959495
CsK_FeSnF6.cif,4,-2.553514888
RbK_CrAgCl6.cif,5,-1.535058643
Cs2NbAgCl6.cif,6,-1.580770809
CsRbCaCoCl6.cif,7,-1.874208873
CsBaMnAgF6.cif,8,-2.750776069
CsRbCdSnBr6.cif,9,-1.394103872
RbK_NbAgCl6.cif,10,-1.523524204
RbK_TiCrCl6.cif,11,-1.68929668
Rb2RhAgF6.cif,12,-2.223296944
K_2MgCaF6.cif,13,-3.586631771
Cs2PdCdBr6.cif,14,-1.236419415
Cs2K_NiF6.cif,15,-2.58810635
Cs2CaNiCl6.cif,16,-1.900719532
CsRbBeBaF6.cif,17,-3.276142206
CsRbSnPbF6.cif,18,-2.683613568
K_2NaTiF6.cif,19,-3.273516909
CsK_PdCdF6.cif,20,-2.289203723
Rb2K_CoF6.cif,21,-2.641692181
CsK_CdPtF6.cif,22,-2.177624057
CsK_FeRbCl6.cif,23,-1.668983139
CsBaK_NiF6.cif,24,-2.89221859
CsRbLiMnF6.cif,25,-2.898119405
CsK_NaRuCl6.cif,26,-1.585581279
Cs2RbAuCl6.cif,27,-1.44651276
K_2NaAlF6.cif,28,-3.41870617
CsRbNaCuCl6.cif,29,-1.494536868
RbK_PdCdF6.cif,30,-2.289820354
CsRbZnBaCl6.cif,31,-2.042844947
Rb2CoPtF6.cif,32,-2.074915786
CsRbMnPtF6.cif,33,-2.25441857
Rb2GaAuCl6.cif,34,-1.397812918
CsRbSbAuCl6.cif,35,-1.378104725
RbK_MgPbF6.cif,36,-3.075352128
Cs2NaAuCl6.cif,37,-1.456144524
CsK_CaCoF6.cif,38,-2.997701179
Cs2TiAuCl6.cif,39,-1.633285377
RbK_PdPtF6.cif,40,-1.972956046
CsK_RbInF6.cif,41,-2.902022354
Cs2K_CoCl6.cif,42,-1.642556692
CsRbMnSnCl6.cif,43,-1.66226056
CsK_TiZnCl6.cif,44,-1.689861783
Cs2CuSnF6.cif,45,-2.490232239
Rb2AgBiF6.cif,46,-2.472000171
RbK_NaV_Cl6.cif,47,-1.871788595
Cs2CoPbF6.cif,48,-2.526510977
Cs2SnBaF6.cif,49,-3.103295921
CsRbCoCdCl6.cif,50,-1.45501056
RbK_RuAgCl6.cif,51,-1.275365508
Rb2AgAuCl6.cif,52,-1.220567258
Cs2MnBaF6.cif,53,-3.166414908
RbK_V_MnCl6.cif,54,-1.654098109
Rb2RuAgF6.cif,55,-2.208827708
Cs2SrCdI6.cif,56,-1.377399719
CsK_MnCoF6.cif,57,-2.53582635
Cs2NaRuCl6.cif,58,-1.618338662
CsRbTiPtF6.cif,59,-2.588627122
K_2TiFeF6.cif,60,-2.808235648
RbBaCaCuF6.cif,61,-3.154591664
RbK_ZnPbCl6.cif,62,-1.622175948
K_2CuSbF6.cif,63,-2.42886158
CsK_V_BaF6.cif,64,-3.170193598
CsRbCdSnF6.cif,65,-2.655294896
Rb2SrPdF6.cif,66,-2.75054048
RbK_V_SrF6.cif,67,-3.224031931
CsRbK_CrF6.cif,68,-3.034827975
CsRbK_RuCl6.cif,69,-1.613227129
Cs2MgSnCl6.cif,70,-1.904696403
CsBaMnCuF6.cif,71,-2.755748035
CsK_CuSrF6.cif,72,-2.887484993
CsK_CaPtF6.cif,73,-2.702487562
Cs2ScAgBr6.cif,74,-1.699305547
CsK_AlAgF6.cif,75,-2.990269023
CsRbCdPbBr6.cif,76,-1.420147535
Rb2ScAgF6.cif,77,-3.137655109
K_2MnPbF6.cif,78,-2.715511547
RbK_BeBaCl6.cif,79,-2.002837486
RbK_NaRhCl6.cif,80,-1.620489019
Cs2ZnPbCl6.cif,81,-1.686968414
CsK_PdPbCl6.cif,82,-1.444452321
Cs2PtPbF6.cif,83,-2.248192802
CsBaCuSnF6.cif,84,-2.631325718
Cs2V_BaF6.cif,85,-3.203966975
Cs2CoBaCl6.cif,86,-1.893022924
RbBaLiZnF6.cif,87,-3.211702021
CsK_V_SrF6.cif,88,-3.22832938
CsK_AsAgF6.cif,89,-2.376629964
RbK_CrNiF6.cif,90,-2.547929639
CsK_BePbF6.cif,91,-2.856022219
CsK_NaAsF6.cif,92,-2.765661798
Rb2CaMnCl6.cif,93,-2.062845154
RbK_CoSnF6.cif,94,-2.490756232
RbK_FeCdCl6.cif,95,-1.486916283
CsBaFeCuF6.cif,96,-2.610647306
CsK_LiRhF6.cif,97,-2.591210651
Ba2LiNaF6.cif,98,-3.619652042
RbK_LiAuCl6.cif,99,-1.397153668
