file_name,index,label
CsRbK_CoF6.cif,0,-2.651438647
CsBaCuCdF6.cif,1,-2.661107075
K_2NaV_F6.cif,2,-3.110807373
CsRbCuPtF6.cif,3,-2.069591888
CsRbScAgCl6.cif,4,-1.980315835
Cs2CoSrF6.cif,5,-2.981832455
Rb2V_CoF6.cif,6,-2.631804535
CsK_CaCoF6.cif,7,-2.997701179
CsK_ZnPbCl6.cif,8,-1.643751323
CsK_NaCrF6.cif,9,-3.035972974
CsRbLiMoF6.cif,10,-2.867872358
RbK_CrNiF6.cif,11,-2.547929639
Cs2AgAuBr6.cif,12,-1.073326565
Cs2NbAgCl6.cif,13,-1.580770809
CsK_RuAgF6.cif,14,-2.201234887
RbK_V_MnCl6.cif,15,-1.654098109
CsRbLiRhF6.cif,16,-2.590578018
CsRbLiMnF6.cif,17,-2.898119405
CsRbCoBaF6.cif,18,-2.923701001
CsK_MnPbF6.cif,19,-2.735443244
Cs2CoSrCl6.cif,20,-1.90159706
RbK_CaV_Cl6.cif,21,-2.051379937
CsK_PdPbCl6.cif,22,-1.444452321
RbK_LiBiCl6.cif,23,-1.75731255
CsK_AgSbF6.cif,24,-2.46300526
CsRbCdSnF6.cif,25,-2.655294896
RbK_CrFeF6.cif,26,-2.576053483
Cs2LiNbF6.cif,27,-2.964382497
CsBaPdAgF6.cif,28,-2.362125901
Rb2SrPdF6.cif,29,-2.75054048
CsRbMgPbCl6.cif,30,-1.916067194
RbK_MgSnCl6.cif,31,-1.840578738
K_2MgCrF6.cif,32,-3.075054964
Cs2RbNbCl6.cif,33,-1.88590916
CsRbNaCoCl6.cif,34,-1.60311309
CsRbCuMoF6.cif,35,-2.447279957
RbBaLiMgF6.cif,36,-3.587800519
CsRbMnZnF6.cif,37,-2.735038521
Rb2LiNbF6.cif,38,-2.984620368
Rb2CoBaF6.cif,39,-2.909957097
CsRbV_PtCl6.cif,40,-1.350052387
CsRbNiBaBr6.cif,41,-1.602078965
K_2MnSrF6.cif,42,-3.17157588
Cs2FeAgF6.cif,43,-2.465174375
RbK_NiBaCl6.cif,44,-1.83954053
CsK_ZnBaF6.cif,45,-3.100932618
Cs2SrPtCl6.cif,46,-1.765959495
Cs2CaNiCl6.cif,47,-1.900719532
CsK_CoRbF6.cif,48,-2.609235102
Rb2CrAuCl6.cif,49,-1.426963116
Rb2TiAgCl6.cif,50,-1.730661294
RbK_NaAuF6.cif,51,-2.27338777
CsBaCuZnF6.cif,52,-2.738386256
CsRbK_GaF6.cif,53,-3.016249963
RbK_TiFeF6.cif,54,-2.80294504
CsBaLiCaF6.cif,55,-3.603605501
CsRbMgBaCl6.cif,56,-2.301480487
CsRbCuSbF6.cif,57,-2.446831084
RbK_NaCuF6.cif,58,-2.481419856
CsRbPdPbCl6.cif,59,-1.464579565
Rb2MgPdF6.cif,60,-2.693409603
