correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
CaLiCl3,5.1459,4.725807169,-1.945749132,-2.074568076,8.889335006
BaNaBr3,5.9859,5.464689937,-1.831871752,-1.970224544,9.537779252
AgMnF3,4.393,4.146211437,-1.880575914,-1.961748854,5.952146116
CsMgF3,3.969,4.247499283,-3.241036914,-3.390179368,-6.556782343
PbLiBr3,5.3659,5.089197244,-1.04293436,-1.097029852,5.43706095
AuSnI3,6.317,6.003794978,0.222608504,0.175611434,5.216784103
PdLiF3,4.0459,3.71372977,-1.488397324,-1.627104956,8.944383425
CsCuBr3,4.793,5.27369909,-0.79529594,-1.091396984,-9.115026887
PtLiBr3,5.3659,4.914576626,0.174047,0.061256956,9.183362237
NaCuBr3,4.793,5.110755555,-0.790846752,-0.912266706,-6.217389026
TlBeF3,3.575,3.901803135,-2.123304972,-2.41646414,-8.375695126
RbCuBr3,4.793,5.206276543,-0.858455486,-1.072096124,-7.938044389
BaAgBr3,5.7659,5.489038956,-1.387395366,-1.444809774,5.043889217
InBaI3,7.073,6.736162163,-1.082296284,-1.123439888,5.000441332
SrAgF3,4.9259,4.52238463,-2.23395356,-2.396882782,8.922623859
HgCuI3,5.133,5.481707671,0.175163952,0.04678037,-6.361296368
PbCuCl3,4.5459,4.847487106,-0.67038303,-0.810238074,-6.221514352
InTiBr3,5.793,5.314207144,-0.820002044,-0.970910516,9.009676195
CsZnI3,5.533,5.826315011,-0.862777726,-0.93211132,-5.034314321
RbPtF3,4.173,4.40721119,-1.696404764,-1.814913364,-5.314271994
TlCuBr3,4.793,5.156088604,-0.505527796,-0.671978954,-7.041938801
RbBeF3,3.575,3.857802797,-2.700171336,-2.900134318,-7.330670122
CsNiF3,4.005,4.250154736,-2.125987752,-2.24881779,-5.76813672
HgLiF3,4.0459,3.796082804,-1.966308356,-2.053301882,6.58092062
BaAgF3,4.9259,4.57672328,-2.455315686,-2.580456832,7.62940424
SrAgBr3,5.7659,5.443145185,-1.173829688,-1.251320396,5.929564692
NaTiCl3,5.433,4.985133369,-1.499304656,-1.650659688,8.984045117
AuNiBr3,5.213,4.929597315,0.135739534,0.05545012,5.749002746
TlCuI3,5.133,5.541004692,-0.149867786,-0.335432946,-7.363370267
BaNaCl3,5.6259,5.159216932,-2.173402654,-2.302828026,9.045618243
PbAgBr3,5.7659,5.377863956,-0.359132238,-0.466396614,7.215430646
PbAgF3,4.9259,4.479825934,-1.343833178,-1.54362168,9.957397287
NaCuI3,5.133,5.54780659,-0.350835532,-0.533519092,-7.47694757
CsPtF3,4.173,4.462740532,-1.626179592,-1.815898008,-6.492435084
LiCuI3,5.133,5.52046092,-0.227247746,-0.383773998,-7.018633509
BaCuF3,4.5459,4.288242688,-2.655279414,-2.739871826,6.008459193
PdLiI3,5.7659,5.414335467,0.12029285,0.06850881,6.493216668
LiCuBr3,4.793,5.082266512,-0.665732228,-0.765381826,-5.691683254
CdLiBr3,5.3659,5.050829262,-0.674478338,-0.73047923,6.238000171
AuMnCl3,4.393,4.874105037,-0.159905268,-0.495153648,-9.870633344
CsTiCl3,5.433,5.12319759,-1.768133988,-1.844265338,6.047051759
HgCuBr3,4.793,5.079824377,-0.129924428,-0.234618622,-5.646344356
TlPtF3,4.173,4.401008457,-1.257526248,-1.37348166,-5.180822969
CdLiCl3,5.1459,4.705909463,-0.911321264,-1.037583576,9.349745048
LiMnF3,4.393,4.160527112,-2.467243886,-2.536653406,5.587582576
SnCuF3,4.5459,4.166581115,-1.496380482,-1.684103852,9.103840164
AuFeI3,5.709,5.41202461,0.455169478,0.40385483,5.487325195
CaCuCl3,4.5459,4.822791355,-1.294872564,-1.40935631,-5.741309018
K_TiBr3,5.793,5.340947549,-1.313100122,-1.444884766,8.463899839
AgNiBr3,5.213,4.959189038,-0.147280316,-0.210057576,5.117993286
BaNaI3,6.4459,5.919377318,-1.350557136,-1.470468156,8.894899813
TlTiBr3,5.793,5.325974152,-0.922764348,-1.06658982,8.768834295
CsCuF3,4.001,4.255078079,-2.088748554,-2.2181249,-5.971173132
CsTiBr3,5.793,5.418255089,-1.421009182,-1.514148408,6.916339391
PbLiCl3,5.1459,4.783874276,-1.330865196,-1.431871674,7.567626219
PbCuF3,4.5459,4.19121234,-1.630705392,-1.795619224,8.46265069
HgLiCl3,5.1459,4.75821547,-0.689279154,-0.772816698,8.147687562
CaCuF3,4.5459,4.142567563,-2.24849729,-2.447375514,9.736291101
CsZnF3,4.053,4.294460077,-2.5466365,-2.660532556,-5.622594521
SrAgCl3,5.5059,5.180102215,-1.423064424,-1.507863046,6.289408422
SrNaI3,6.4459,5.86728141,-1.128614614,-1.271502322,9.8617835
TiCuBr3,4.5459,5.043660586,0.21150475,-0.177711524,-9.869034157
InTiCl3,5.433,5.028164918,-1.172004294,-1.30130847,8.051348526
AuPbCl3,5.873,5.539819073,-0.30739981,-0.367118256,6.014292572
PdLiBr3,5.3659,4.962383215,-0.165101512,-0.245870148,8.131511967
CdLiF3,4.0459,3.738592553,-2.348742774,-2.482375028,8.219869982
K_CuBr3,4.793,5.165996175,-0.878009606,-1.049411898,-7.220217793
CaLiF3,4.0459,3.748998366,-3.480372358,-3.59795903,7.919492222
AgCuBr3,4.793,5.052285965,-0.143113322,-0.230702382,-5.132052437
HgBeF3,3.575,3.814016899,-1.878655906,-2.038262656,-6.266802307
InBeF3,3.575,3.88028276,-2.103864236,-2.345097166,-7.867539014
PtCuBr3,4.5459,4.965046601,0.723727932,0.437293622,-8.441946968
InPtF3,4.173,4.393955319,-1.173738118,-1.28195728,-5.028620069
TiLiBr3,5.3659,4.970964967,-0.600794354,-0.703158682,7.944836377
SnLiBr3,5.3659,5.05561031,-0.912172556,-0.978647214,6.137531791
NaTiBr3,5.793,5.297398656,-1.135252302,-1.291379518,9.355560647
AuNiI3,5.613,5.282843952,0.44899364,0.361709778,6.249589255
RbTiCl3,5.433,5.065380529,-1.717653534,-1.82262431,7.257489717
BaNaF3,4.6799,4.279168925,-3.36893916,-3.524762344,9.364693987
RbCuI3,5.133,5.632126164,-0.446834374,-0.715080452,-8.862126832
K_TiCl3,5.433,5.031365914,-1.67332494,-1.796896452,7.982605377
BaAgCl3,5.5059,5.230770488,-1.638142292,-1.699531532,5.259827642
CsCuI3,5.133,5.665393824,-0.423686126,-0.753358266,-9.397295943
SrCuCl3,4.5459,4.878998712,-1.447262442,-1.61564428,-6.827194096
AgCuI3,5.133,5.468767699,0.254051104,0.133927722,-6.13973234
CaLiBr3,5.3659,5.059732962,-1.624652702,-1.688827102,6.051051316
