correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
RbCdF3,4.621,4.498497392,-2.617838748,-2.636486404,2.723189486
RbSrCl3,5.833,5.701280542,-2.440749194,-2.451194638,2.310348649
NaFeF3,4.113,4.087866349,-2.414227914,-2.415234008,0.614835439
AgMgF3,3.969,3.975241176,-2.697160694,-2.697234384,-0.157001191
TlFeCl3,4.933,4.955082043,-0.968959946,-0.969469984,-0.445644347
CsFeI3,5.709,5.754707351,-0.684642418,-0.686225466,-0.794260215
TlPtBr3,5.213,5.241305852,-0.5733867,-0.574416834,-0.540053429
TlMgI3,5.733,5.808499809,-0.858582392,-0.862417194,-1.299815985
CsCrF3,4.153,4.332340457,-2.609297228,-2.669320138,-4.139574412
LiCuCl3,4.813,4.767612246,-1.032967496,-1.035163164,0.952001792
HgCaF3,4.497,4.44873825,-2.725130108,-2.727945822,1.084841303
LiFeI3,5.709,5.612651351,-0.289537496,-0.29583941,1.716633423
RbFeBr3,5.233,5.286634085,-1.078252254,-1.080905054,-1.014522362
AgPdI3,5.533,5.522740662,0.032827474,0.032718238,0.185765341
InMgBr3,5.373,5.332441254,-1.255927444,-1.25721865,0.76060371
RbCrF3,4.153,4.243206615,-2.692341434,-2.706344216,-2.12590673
InCaF3,4.497,4.497,-3.142793844,-3.142793844,0
K_CuF3,4.001,4.078183656,-2.30243291,-2.312948382,-1.892598826
K_HgBr3,5.573,5.626396118,-1.049146188,-1.05141151,-0.949028772
TlPtCl3,4.913,4.980247688,-0.741327768,-0.747940712,-1.350288022
AgCaF3,4.497,4.40616381,-2.766704838,-2.776740774,2.061570879
K_CoCl3,4.879,4.869283667,-1.235162636,-1.235249138,0.199543376
CsCaBr3,5.833,5.766617585,-2.178983426,-2.18161165,1.151149942
NaSnF3,4.663,4.682898779,-2.45589589,-2.456332196,-0.424924388
NaCrI3,5.773,5.670378679,-0.649979626,-0.657414516,1.809778973
NaHgBr3,5.573,5.596271003,-0.880345966,-0.880760276,-0.415830523
AgHgBr3,5.573,5.54259152,-0.151846646,-0.15261481,0.548632889
InBaCl3,6.193,6.012463938,-1.827780578,-1.845090288,3.002696796
CsPdI3,5.533,5.690584941,-0.827581868,-0.852695682,-2.769222191
TlCdF3,4.621,4.493094942,-2.17584543,-2.19717278,2.846702766
RbSrI3,6.573,6.460233383,-1.667136268,-1.672950852,1.745550204
AgSnBr3,5.813,5.720070784,-0.40510809,-0.410498614,1.624616539
HgCuF3,4.001,4.089495289,-1.366644916,-1.382168854,-2.163966034
LiFeF3,4.113,4.062697745,-2.275491378,-2.279555092,1.238149086
K_PdCl3,4.913,4.963682759,-1.289865694,-1.293036056,-1.021071681
NaPtCl3,4.913,4.93665069,-1.00641307,-1.007205124,-0.479083725
CsBaF3,5.189,5.143366035,-3.528639466,-3.530516084,0.887239304
AuBaF3,5.189,5.067987467,-2.113919256,-2.126494286,2.387782799
LiCoF3,4.093,3.999531736,-2.145415766,-2.159611608,2.336980181
AgCrF3,4.153,4.088176148,-1.924519628,-1.932070812,1.585642342
LiMgI3,5.733,5.79274743,-0.900204604,-0.9024549,-1.031417833
RbFeI3,5.709,5.714160626,-0.641332506,-0.641347462,-0.090312932
InPtCl3,4.913,4.97094987,-0.646089456,-0.650960866,-1.165770557
