file_name,index,label
RbCdF3.cif,0,-2.636486404
RbSrCl3.cif,1,-2.451194638
NaFeF3.cif,2,-2.415234008
AgMgF3.cif,3,-2.697234384
TlFeCl3.cif,4,-0.969469984
CsFeI3.cif,5,-0.686225466
TlPtBr3.cif,6,-0.574416834
TlMgI3.cif,7,-0.862417194
CsCrF3.cif,8,-2.669320138
LiCuCl3.cif,9,-1.035163164
HgCaF3.cif,10,-2.727945822
LiFeI3.cif,11,-0.29583941
RbFeBr3.cif,12,-1.080905054
AgPdI3.cif,13,0.032718238
InMgBr3.cif,14,-1.25721865
RbCrF3.cif,15,-2.706344216
InCaF3.cif,16,-3.142793844
K_CuF3.cif,17,-2.312948382
K_HgBr3.cif,18,-1.05141151
TlPtCl3.cif,19,-0.747940712
AgCaF3.cif,20,-2.776740774
K_CoCl3.cif,21,-1.235249138
CsCaBr3.cif,22,-2.18161165
NaSnF3.cif,23,-2.456332196
NaCrI3.cif,24,-0.657414516
NaHgBr3.cif,25,-0.880760276
AgHgBr3.cif,26,-0.15261481
InBaCl3.cif,27,-1.845090288
CsPdI3.cif,28,-0.852695682
TlCdF3.cif,29,-2.19717278
RbSrI3.cif,30,-1.672950852
AgSnBr3.cif,31,-0.410498614
HgCuF3.cif,32,-1.382168854
LiFeF3.cif,33,-2.279555092
K_PdCl3.cif,34,-1.293036056
NaPtCl3.cif,35,-1.007205124
CsBaF3.cif,36,-3.530516084
AuBaF3.cif,37,-2.126494286
LiCoF3.cif,38,-2.159611608
AgCrF3.cif,39,-1.932070812
LiMgI3.cif,40,-0.9024549
RbFeI3.cif,41,-0.641347462
InPtCl3.cif,42,-0.650960866
NaBeF3.cif,43,-3.131556964
LiMgF3.cif,44,-3.330979392
K_SnF3.cif,45,-2.61508162
AuBaBr3.cif,46,-0.809567196
CuZnCl3.cif,47,-0.50017468
HgSrBr3.cif,48,-1.223068052
InSnCl3.cif,49,-1.055748526
NaSnBr3.cif,50,-1.13753846
TlCaBr3.cif,51,-1.692124718
RbSrF3.cif,52,-3.594481612
HgSrCl3.cif,53,-1.489155042
TiCuCl3.cif,54,-0.469200324
RbPdF3.cif,55,-2.09106492
CdCuCl3.cif,56,-0.604384676
RbMgBr3.cif,57,-1.768129096
InCrCl3.cif,58,-1.083009066
InCdF3.cif,59,-2.102879448
TlMgCl3.cif,60,-1.699633974
InPtBr3.cif,61,-0.480152012
TlHgBr3.cif,62,-0.666384478
TlSnI3.cif,63,-0.55391101
AuSnF3.cif,64,-1.49383216
HgZnF3.cif,65,-1.802753144
CsCoF3.cif,66,-2.28925503
CuCrI3.cif,67,0.235951404
K_MgBr3.cif,68,-1.735023144
CsSrF3.cif,69,-3.637059742
HgFeBr3.cif,70,-0.304990994
K_CdF3.cif,71,-2.615169234
NaNiBr3.cif,72,-0.876251058
BaHgF3.cif,73,-2.375177822
CsFeBr3.cif,74,-1.10962896
NaCaBr3.cif,75,-1.906233476
HgSnI3.cif,76,-0.243705144
CsCrCl3.cif,77,-1.615583328
AuCaCl3.cif,78,-1.181712512
NaMgCl3.cif,79,-1.957517766
CaLiI3.cif,80,-1.137367946
K_SrI3.cif,81,-1.619126244
TlFeF3.cif,82,-2.050454308
RbNiI3.cif,83,-0.658547948
RbPdBr3.cif,84,-1.106169216
CsCaF3.cif,85,-3.691952194
NaCuF3.cif,86,-2.23849828
NaCuCl3.cif,87,-1.178240852
AgMgBr3.cif,88,-0.878869874
CsBaCl3.cif,89,-2.47878874
AuSrBr3.cif,90,-0.84886666
RbMgCl3.cif,91,-2.123363766
HgNiI3.cif,92,0.06694645
TlCoCl3.cif,93,-0.834721276
AuPtBr3.cif,94,0.131611874
TlMgF3.cif,95,-3.01974609
TlPbF3.cif,96,-2.230602534
K_NiCl3.cif,97,-1.271490992
CsSnI3.cif,98,-1.05188433
NaHgI3.cif,99,-0.54468513
NaPdBr3.cif,100,-0.93422135
K_NiF3.cif,101,-2.34551344
TlSnBr3.cif,102,-0.925250032
LiZnCl3.cif,103,-1.293698706
AuCoCl3.cif,104,-0.12917871
HgSnBr3.cif,105,-0.578797826
InCaCl3.cif,106,-1.915552346
CsHgBr3.cif,107,-1.14850998
K_CaI3.cif,108,-1.5898541
AgFeF3.cif,109,-1.697071276
NaHgCl3.cif,110,-1.08981038
RbZnBr3.cif,111,-1.309433042
NaPdF3.cif,112,-1.955781184
TlZnF3.cif,113,-2.268585712
CsPdCl3.cif,114,-1.325537322
K_SrCl3.cif,115,-2.401078396
CsPtCl3.cif,116,-1.18326345
AgMgCl3.cif,117,-1.247165106
InSnI3.cif,118,-0.452496276
NaPdI3.cif,119,-0.629135818
K_BeF3.cif,120,-3.030558258
CuZnF3.cif,121,-1.69852637
TlSrBr3.cif,122,-1.694830016
RbMnF3.cif,123,-2.786512982
AuHgI3.cif,124,0.425745878
AgSnI3.cif,125,-0.04547113
AuSrF3.cif,126,-2.29470007
K_MnF3.cif,127,-2.789088968
CsSnF3.cif,128,-2.681653938
K_CaF3.cif,129,-3.6591768
RbPtBr3.cif,130,-0.978797508
TlNiBr3.cif,131,-0.625161926
K_MgCl3.cif,132,-2.099945892
RbPbF3.cif,133,-2.68122267
RbPbBr3.cif,134,-1.412694162
K_FeCl3.cif,135,-1.370844036
BaLiBr3.cif,136,-2.054054964
HgPtCl3.cif,137,-0.326627214
K_BaBr3.cif,138,-2.064333724
CsPbBr3.cif,139,-1.478060374
InPbI3.cif,140,-0.485837998
K_CrCl3.cif,141,-1.581110998
RbCoF3.cif,142,-2.348531072
LiNiF3.cif,143,-2.143334838
AuCdF3.cif,144,-1.379147428
K_CrI3.cif,145,-0.814090362
AuCuI3.cif,146,0.366344834
K_SnI3.cif,147,-0.935309982
LiCrI3.cif,148,-0.503792646
PbLiF3.cif,149,-2.76032419
TlFeBr3.cif,150,-0.67485503
AuZnF3.cif,151,-1.546821714
AgPdBr3.cif,152,-0.251050288
HgZnCl3.cif,153,-0.704799908
RbZnF3.cif,154,-2.714748798
AuNiCl3.cif,155,-0.178403202
LiFeBr3.cif,156,-0.754460556
HgCrF3.cif,157,-1.92395466
CsMgBr3.cif,158,-1.80393524
K_NiBr3.cif,159,-1.00271818
RbHgBr3.cif,160,-1.095521064
NaNiI3.cif,161,-0.492411272
AgNiI3.cif,162,0.151964244
LiNiI3.cif,163,-0.348797204
TlHgI3.cif,164,-0.349186046
PtCuCl3.cif,165,0.21826319
HgSnF3.cif,166,-1.868960336
TlSrCl3.cif,167,-2.003321536
CsSrBr3.cif,168,-2.204563094
AuHgCl3.cif,169,-0.028483748
HgCrI3.cif,170,-0.125946844
AgCuF3.cif,171,-1.479941374
InZnCl3.cif,172,-1.084580838
