,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
0,Cs2AgBiF6,6.603528808,6.736331898,-2.508638585,Cs,Cs,Ag,Bi,F,-1.971445172
1,Cs2AlAgF6,6.285330757,6.256387304,-2.997612301,Cs,Cs,Al,Ag,F,0.462622462
2,Cs2AlRbF6,6.497462791,6.494910255,-3.382739546,Cs,Cs,Al,Rb,F,0.039300558
3,Cs2BaPtCl6,7.782346523,7.862865377,-1.759556189,Cs,Cs,Ba,Pt,Cl,-1.024039585
4,Cs2CaCoCl6,7.384952512,7.384952183,-1.889818805,Cs,Cs,Ca,Co,Cl,4.46E-06
5,Cs2CaCrF6,6.257824303,6.301192188,-3.154007989,Cs,Cs,Ca,Cr,F,-0.688248885
6,Cs2CaCuF6,6.206912615,6.24183882,-2.916729486,Cs,Cs,Ca,Cu,F,-0.559549934
7,Cs2CaFeF6,6.243682167,6.277588157,-3.068932322,Cs,Cs,Ca,Fe,F,-0.54011173
8,Cs2CaMnBr6,7.423136278,7.914385931,-1.788691693,Cs,Cs,Ca,Mn,Br,-6.207046981
9,Cs2CaMnF6,6.353990825,6.323804967,-3.232608227,Cs,Cs,Ca,Mn,F,0.477336954
10,Cs2CaNiCl6,7.37222459,7.360570795,-1.900719532,Cs,Cs,Ca,Ni,Cl,0.158327327
11,Cs2CaPbBr6,8.332475599,8.334503683,-1.822275008,Cs,Cs,Ca,Pb,Br,-0.024333591
12,Cs2CaPbCl6,7.997306985,7.927238188,-2.108760417,Cs,Cs,Ca,Pb,Cl,0.883899226
13,Cs2CaPdF6,6.311564418,6.377290579,-2.796127974,Cs,Cs,Ca,Pd,F,-1.030628292
14,Cs2CaPtBr6,7.790831804,7.900469556,-1.493001367,Cs,Cs,Ca,Pt,Br,-1.387737162
15,Cs2CaSnF6,6.482684259,6.635985508,-3.181130413,Cs,Cs,Ca,Sn,F,-2.310150449
16,Cs2CaSnI6,8.806237142,8.873296271,-1.361109462,Cs,Cs,Ca,Sn,I,-0.755740899
17,Cs2CaSrCl6,7.969022713,7.911904746,-2.510615872,Cs,Cs,Ca,Sr,Cl,0.721924351
18,Cs2CaTiCl6,7.705978991,7.477395897,-2.168161729,Cs,Cs,Ca,Ti,Cl,3.056987983
