file_name,index,label
CaLiCl3.cif,0,3.403691
RbCdF3.cif,1,3.181339
RbSrCl3.cif,2,4.61536
NaFeF3.cif,3,0.000246
BaNaBr3.cif,4,3.35175
AgMgF3.cif,5,2.068515
TlFeCl3.cif,6,0.022752
CsFeI3.cif,7,0.0
TlPtBr3.cif,8,0.23952
TlMgI3.cif,9,1.262833
SrCuI3.cif,10,0.097835
CsCrF3.cif,11,0.0
InMnCl3.cif,12,1.192855
LiCuCl3.cif,13,0.0
HgCaF3.cif,14,0.0
AgV_Cl3.cif,15,0.0
LiFeI3.cif,16,0.0
RbBeI3.cif,17,0.177289
RbFeBr3.cif,18,0.008521
AgPdI3.cif,19,0.0
InMgBr3.cif,20,2.751053
RbCdI3.cif,21,0.263653
RbCrF3.cif,22,0.0
AgMnF3.cif,23,0.0
InCaF3.cif,24,3.617621
K_CuF3.cif,25,0.0
NaTiF3.cif,26,0.0
K_HgBr3.cif,27,0.48493
TlV_Cl3.cif,28,0.060227
CsMgF3.cif,29,6.697837
InBeBr3.cif,30,1.053943
PbLiBr3.cif,31,1.392327
InMnBr3.cif,32,1.008441
NaBeCl3.cif,33,2.487495
PbNaF3.cif,34,3.653515
TlPtCl3.cif,35,0.140388
AgCaF3.cif,36,2.351586
InCdI3.cif,37,0.297325
K_CoCl3.cif,38,0.0
AuSnI3.cif,39,0.0
CsCaBr3.cif,40,4.389031
NaSnF3.cif,41,1.055492
NaCrI3.cif,42,0.0
K_BeI3.cif,43,0.176757
PdLiF3.cif,44,0.0
CdCuBr3.cif,45,0.0
NaHgBr3.cif,46,0.494919
CsCuBr3.cif,47,0.121674
TlMnBr3.cif,48,1.034074
AgHgBr3.cif,49,0.097621
InBaCl3.cif,50,3.286221
CsPdI3.cif,51,0.0
TlCdF3.cif,52,3.941658
InCdBr3.cif,53,0.839166
RbSrI3.cif,54,3.348601
AgSnBr3.cif,55,0.0
PtLiBr3.cif,56,0.0
LiMnCl3.cif,57,0.910677
HgCuF3.cif,58,0.0
LiFeF3.cif,59,0.0
K_PdCl3.cif,60,0.0
NaPtCl3.cif,61,0.144878
CsBaF3.cif,62,5.201217
AuBaF3.cif,63,0.118407
LiCoF3.cif,64,0.0
NaCuBr3.cif,65,0.167749
AgCrF3.cif,66,0.0
LiMgI3.cif,67,1.179737
TlBeF3.cif,68,3.846092
RbCuBr3.cif,69,0.141695
RbFeI3.cif,70,0.003175
InPtCl3.cif,71,0.141563
NaBeF3.cif,72,7.476894
LiMgF3.cif,73,5.872132
K_SnF3.cif,74,1.799642
AuBaBr3.cif,75,0.0
BaAgBr3.cif,76,0.983595
InBaI3.cif,77,2.288512
