correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
SrCuI3,4.5459,5.553561939,1.099636752,-0.859866352,-18.14442605
InMnCl3,4.393,5.052181839,-0.54687922,-1.131843826,-13.0474686
AgV_Cl3,5.693,4.870458199,-0.357662226,-0.797279366,16.88838642
RbBeI3,3.575,5.545599385,12.5298254,-0.726887462,-35.53447064
RbCdI3,4.621,6.006353612,2.613377788,-0.950345046,-23.06480273
NaTiF3,5.113,4.12611449,-2.192360906,-2.839707412,23.91803505
TlV_Cl3,5.693,4.993665199,-0.902435012,-1.22358913,14.00443909
InBeBr3,3.575,4.97979844,5.455006036,-0.738805292,-28.20994578
InMnBr3,4.393,5.333296532,0.422097878,-0.835989842,-17.63068163
NaBeCl3,3.575,4.597237562,1.241232154,-1.46199092,-22.23590903
PbNaF3,4.6799,4.186912693,-2.267597234,-2.503431848,11.77448261
InCdI3,4.621,5.924880001,2.712276468,-0.438181298,-22.00685922
K_BeI3,3.575,5.509529044,11.50210193,-0.694939882,-35.1124212
CdCuBr3,4.5459,5.063952442,0.076299964,-0.356045768,-10.23019959
TlMnBr3,4.393,5.343612532,0.39734235,-0.93259933,-17.789698
InCdBr3,4.621,5.524496916,0.530935912,-0.833588694,-16.35437452
LiMnCl3,4.393,4.985436065,-0.915945784,-1.329616964,-11.88333492
RbCdBr3,4.621,5.573012099,0.16066589,-1.359243048,-17.0825414
TlBeCl3,3.575,4.70259178,2.6165596,-1.146645368,-23.97809193
V_LiF3,4.0459,3.653760734,-2.11449601,-2.324741862,10.73248345
CsCdI3,4.621,6.037237841,2.815608266,-1.007947046,-23.45837415
HgTiF3,5.113,4.170102606,-1.598785792,-2.475511946,22.61089194
LiBeBr3,3.575,4.894819441,3.815417316,-0.91843868,-26.96359808
HgBeBr3,3.575,4.91836654,5.78449378,-0.392708852,-27.31326608
TiCuF3,4.5459,4.069830575,-1.240081084,-1.522455718,11.69752441
AuTiCl3,5.433,4.819250825,-0.469655106,-0.804056304,12.73536484
AuBeCl3,3.575,4.556416203,2.488680296,-0.47226514,-21.53921326
RbMnCl3,4.393,5.088912679,-0.992247726,-1.656876344,-13.67507605
RbMnBr3,4.393,5.388051659,0.094703014,-1.347135594,-18.46774534
CsMnCl3,4.393,5.149885655,-0.832226502,-1.679283226,-14.69713515
RbTiF3,5.113,4.236946311,-2.428521878,-2.905280288,20.67653505
HgBeCl3,3.575,4.60793194,2.5917548,-0.71841582,-22.41638881
CoBeBr3,3.575,4.804856243,4.40302254,0.148863582,-25.59610904
SnCuI3,4.5459,5.4413464,1.46278083,-0.07943701,-16.45633882
AgTiBr3,5.793,5.199607119,-0.42377519,-0.659387356,11.4122638
K_TiF3,5.113,4.191051856,-2.376780708,-2.912514808,21.99801328
LiBeCl3,3.575,4.549431354,1.044123422,-1.329578128,-21.41875057
BaCuI3,4.5459,5.614468979,1.238700264,-1.032984348,-19.03241398
AgTiF3,5.113,4.127136052,-1.452781706,-2.347519672,23.88736246
PbCuI3,4.5459,5.474202625,1.51322369,-0.171013152,-16.9577688
CsBeCl3,3.575,4.845337828,3.48995684,-1.522471738,-26.21773493
FeBeBr3,3.575,4.826501217,4.460566076,0.041728634,-25.92978144
K_CdI3,4.621,5.984287279,2.50134934,-0.903901312,-22.78111353
InTiF3,5.113,4.255897854,-1.87275682,-2.518398926,20.13916159
PbNaBr3,5.9859,5.370050385,-0.785555074,-0.969632344,11.46822787
TlBeBr3,3.575,5.004235401,5.93596408,-0.820856868,-28.56051497
